Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
24-06-2026 09:00,GEDIK,6.74,7.37,6.74,7.37,54857687.0,0.0,0.63,0.01,7775.0,0.63,19502840.8,181.28,0.0,True,60.84,0.19,0.22,-0.03,2026-06-24,10.0,0,,5.43,7.75,False,False
24-06-2026 09:00,BALSU,17.34,18.67,16.98,18.67,78930819.0,0.0,1.33,0.34,287.76,1.33,28325500.5,178.66,0.0,True,80.51,0.57,0.06,0.51,2026-06-24,9.95,0,,13.16,ATH,False,False
24-06-2026 09:00,OSMEN,7.97,8.76,7.94,8.76,5483121.0,0.0,0.79,0.12,552.89,0.79,3169146.1,73.02,0.0,True,75.84,0.11,-0.01,0.12,2026-06-24,9.91,0,,7.12,9.5,False,False
24-06-2026 09:00,ISGYO,22.44,24.48,22.32,24.46,12541584.0,0.02,2.02,0.34,497.63,2.02,4491947.5,179.2,0.01,True,76.91,0.52,0.18,0.34,2026-06-24,9.88,0,,19.89,ATH,False,False
24-06-2026 09:00,INVEO,7.8,8.53,7.71,8.53,22449421.0,0.0,0.73,0.03,2112.12,0.73,7005037.4,220.48,0.0,True,61.12,-0.0,-0.01,0.01,2026-06-24,9.92,0,,7.18,9.62,False,False
24-06-2026 09:00,KBORU,25.12,26.1,23.88,25.94,16491336.0,0.16,0.82,0.01,6733.33,0.82,8284301.6,99.07,0.2,True,59.32,0.2,0.04,0.16,2026-06-24,3.76,0,,22.6,26.58,False,False
23-06-2026 09:00,CRDFA,37.98,40.58,36.68,40.58,4544645.0,0.0,2.6,0.53,386.89,2.6,2255096.4,101.53,0.0,True,61.17,1.8,2.04,-0.24,2026-06-23,5.9,0,,29.02,42.58,False,False
23-06-2026 09:00,BORLS,7.26,7.79,6.88,7.79,97555585.0,0.0,0.53,0.15,244.16,0.53,46430427.5,110.11,0.0,True,69.24,0.21,0.02,0.19,2026-06-23,9.87,0,,5.35,9.21,False,False
23-06-2026 09:00,SILVR,2.69,2.82,2.61,2.79,3833937.0,0.03,0.1,0.0,3233.33,0.1,1947769.0,96.84,0.3,True,60.38,0.01,0.01,0.0,2026-06-23,5.68,0,,2.52,2.87,False,False
23-06-2026 09:00,ALCTL,156.9,169.8,155.0,169.6,996785.0,0.2,12.7,2.07,513.53,12.7,641713.2,55.33,0.02,True,68.66,6.92,5.36,1.56,2026-06-23,7.0,0,,118.0,ATH,False,False
23-06-2026 09:00,SKYMD,13.57,14.48,13.4,14.41,14848378.0,0.07,0.84,0.06,1277.05,0.84,4872282.3,204.75,0.08,True,59.1,0.04,0.02,0.02,2026-06-23,6.35,0,,12.8,15.98,False,False
23-06-2026 09:00,MAKIM,17.4,19.25,17.31,19.21,13782841.0,0.04,1.81,0.16,1052.87,1.81,6472837.6,112.93,0.02,True,58.94,0.25,0.16,0.09,2026-06-23,9.77,0,,15.44,19.74,False,False
23-06-2026 09:00,BINHO,9.49,10.2,9.28,10.01,102120712.0,0.19,0.52,0.05,961.22,0.52,32171116.3,217.43,0.37,True,66.34,0.01,-0.08,0.09,2026-06-23,7.63,0,,8.67,11.03,False,False
23-06-2026 09:00,SANKO,22.3,23.5,22.1,23.2,1100568.0,0.3,0.9,0.0,22400.0,0.9,608214.7,80.95,0.33,True,59.2,0.03,-0.05,0.08,2026-06-23,4.04,0,,21.42,23.92,False,False
22-06-2026 09:00,HOROZ,69.0,74.55,68.5,74.55,7885430.0,0.0,5.55,0.52,967.31,5.55,2802904.0,181.33,0.0,True,59.4,-1.63,-2.25,0.62,2026-06-22,9.96,0,,59.65,95.95,True,True
22-06-2026 09:00,IHLGM,1.86,2.03,1.85,2.03,51067218.0,0.0,0.17,0.0,16900.0,0.17,26458541.2,93.01,0.0,True,54.95,-0.06,-0.07,0.01,2026-06-22,9.73,0,,1.79,2.48,True,True
22-06-2026 09:00,IHYAY,1.67,1.83,1.67,1.83,28840566.0,0.0,0.16,0.0,3900.0,0.16,9740587.9,196.09,0.0,True,62.5,-0.02,-0.03,0.01,2026-06-22,9.58,0,,1.58,1.91,False,False
22-06-2026 09:00,SAMAT,6.49,7.2,6.45,7.2,5107807.0,0.0,0.71,0.1,576.19,0.71,2450823.3,108.41,0.0,True,60.12,0.17,0.21,-0.04,2026-06-22,9.92,0,,5.31,7.72,False,False
22-06-2026 09:00,SANEL,67.85,74.6,62.05,74.6,1358032.0,0.0,6.75,2.06,227.35,6.75,789345.7,72.05,0.0,True,78.14,6.42,4.67,1.75,2026-06-22,9.95,0,,33.64,ATH,False,False
22-06-2026 09:00,SEKUR,8.37,10.23,8.37,10.23,9174411.0,0.0,1.86,0.23,723.01,1.86,5232739.2,75.33,0.0,True,64.6,0.57,0.42,0.15,2026-06-22,10.0,0,,6.77,ATH,False,False
22-06-2026 09:00,ULUUN,8.78,9.15,8.76,9.15,13571221.0,0.0,0.37,0.04,760.47,0.37,8607136.0,57.67,0.0,True,58.89,-0.0,-0.06,0.06,2026-06-22,4.57,0,,7.84,10.79,False,False
22-06-2026 09:00,SOKE,16.7,18.37,16.58,18.37,15199705.0,0.0,1.67,0.14,1110.14,1.67,7712978.4,97.07,0.0,True,57.9,-0.37,-0.52,0.15,2026-06-22,10.0,0,,14.1,21.2,False,False
22-06-2026 09:00,SERNT,10.27,11.22,10.15,11.22,46167341.0,0.0,0.95,0.08,1017.65,0.95,15953970.0,189.38,0.0,True,68.01,0.22,0.15,0.07,2026-06-22,10.0,0,,9.11,11.4,False,False
22-06-2026 09:00,BTCIM,6.05,6.38,6.03,6.3,143286661.0,0.08,0.25,0.01,2400.0,0.25,56113373.4,155.35,0.32,True,57.43,-0.04,-0.07,0.03,2026-06-22,4.3,0,,5.71,6.48,False,False
22-06-2026 09:00,KOPOL,6.65,6.9,6.62,6.87,26519947.0,0.03,0.22,0.02,900.0,0.22,16706647.0,58.74,0.14,True,65.72,0.15,0.09,0.06,2026-06-22,4.73,0,,5.03,6.89,False,False
19-06-2026 09:00,LINK,6.95,7.55,6.8,7.46,82977478.0,0.09,0.51,0.0,10100.0,0.51,53449353.5,55.25,0.18,True,59.68,0.26,0.31,-0.05,2026-06-19,7.34,0,,6.66,8.23,False,False
19-06-2026 09:00,GOZDE,22.28,23.58,22.0,23.4,5553920.0,0.18,1.12,0.24,370.59,1.12,2807908.4,97.8,0.16,True,74.26,0.54,0.18,0.37,2026-06-19,4.93,0,,18.1,28.72,False,False
19-06-2026 09:00,DGGYO,38.8,42.48,38.8,42.48,582774.0,0.0,3.68,1.24,195.82,3.68,234861.0,148.14,0.0,True,73.19,1.52,0.68,0.85,2026-06-19,9.99,0,,30.86,ATH,False,False
19-06-2026 09:00,ANSGR,28.3,29.96,28.14,29.62,15851050.0,0.34,1.32,0.27,388.89,1.32,4623488.1,242.84,0.26,True,60.88,-0.02,-0.2,0.17,2026-06-19,4.3,0,,26.2,31.24,False,False
19-06-2026 09:00,ANHYT,101.6,107.7,100.9,107.7,2236750.0,0.0,6.1,0.17,3488.24,6.1,1015423.6,120.28,0.0,True,55.07,-1.56,-2.17,0.61,2026-06-19,5.59,0,,99.65,120.2,True,True
19-06-2026 09:00,MTRYO,9.85,11.08,9.85,11.08,1679025.0,0.0,1.23,0.08,1364.29,1.23,486135.0,245.38,0.0,True,66.01,0.17,0.11,0.06,2026-06-19,9.92,0,,8.41,11.44,False,False
19-06-2026 09:00,KRDMB,112.2,120.0,112.0,120.0,10104427.0,0.0,7.8,0.67,1064.18,7.8,4541877.2,122.47,0.0,True,66.34,6.09,6.93,-0.85,2026-06-19,6.19,0,,32.62,ATH,False,False
19-06-2026 09:00,EFOR,14.45,15.87,14.4,15.75,155483552.0,0.12,1.3,0.25,411.81,1.3,81951204.6,89.73,0.09,True,71.26,0.85,0.58,0.26,2026-06-19,9.15,0,,9.98,24.54,False,False
19-06-2026 09:00,BIGCH,6.79,7.7,6.79,7.7,43409534.0,0.0,0.91,0.1,810.0,0.91,8089865.7,436.59,0.0,True,65.17,-0.0,-0.1,0.1,2026-06-19,10.0,0,,5.73,8.54,False,False
19-06-2026 09:00,ATLAS,7.42,8.23,7.42,8.23,3464211.0,0.0,0.81,0.04,1925.0,0.81,1125446.8,207.81,0.0,True,54.74,-0.19,-0.2,0.01,2026-06-19,9.88,0,,7.36,10.4,True,True
19-06-2026 09:00,IZMDC,8.33,8.93,8.22,8.93,12825889.0,0.0,0.6,0.05,1150.0,0.6,7603868.6,68.68,0.0,True,67.14,0.25,0.2,0.05,2026-06-19,7.2,0,,6.85,9.47,False,False
19-06-2026 09:00,BAKAB,48.5,55.1,48.5,55.1,2469634.0,0.0,6.6,0.48,1269.29,6.6,980483.5,151.88,0.0,True,65.87,1.43,0.96,0.47,2026-06-19,9.98,0,,44.58,ATH,False,False
19-06-2026 09:00,MERIT,17.61,18.97,17.35,18.9,9947645.0,0.07,1.29,0.14,821.43,1.29,6305512.2,57.76,0.05,True,66.97,0.41,0.22,0.2,2026-06-19,5.35,0,,14.38,19.6,False,False
18-06-2026 09:00,GLYHO,17.5,18.76,17.48,18.69,17794529.0,0.07,1.19,0.25,379.84,1.19,7342299.2,142.36,0.06,True,74.1,0.62,0.29,0.33,2026-06-18,6.92,0,,13.47,ATH,False,False
18-06-2026 09:00,DMSAS,8.55,9.39,8.52,9.39,12305189.0,0.0,0.84,0.03,2300.0,0.84,2755971.2,346.49,0.0,True,62.48,-0.03,-0.08,0.05,2026-06-18,9.95,0,,8.2,9.82,False,False
18-06-2026 09:00,GOODY,16.99,18.68,16.2,18.66,8885257.0,0.02,1.67,0.27,513.97,1.67,3930457.2,126.06,0.01,True,74.51,0.29,0.13,0.16,2026-06-18,9.83,0,,15.11,ATH,False,False
18-06-2026 09:00,BASGZ,48.18,50.65,46.98,50.65,1419150.0,0.0,2.47,0.13,1860.32,2.47,566951.9,150.31,0.0,True,54.2,0.37,0.02,0.35,2026-06-18,-2.88,0,,45.36,52.3,False,False
18-06-2026 09:00,LIDFA,3.02,3.32,2.97,3.3,83672280.0,0.02,0.28,0.01,1766.67,0.28,21253054.7,293.7,0.07,True,59.54,-0.08,-0.12,0.05,2026-06-18,9.27,0,,2.79,3.78,True,False
18-06-2026 09:00,ODAS,8.46,9.08,8.42,9.05,202129185.0,0.03,0.59,0.15,304.11,0.59,110815692.3,82.4,0.05,True,72.96,0.27,0.13,0.14,2026-06-18,7.74,0,,7.05,ATH,False,False
18-06-2026 09:00,SKBNK,14.57,15.44,14.51,15.4,47406332.0,0.04,0.83,0.16,432.05,0.83,30707584.6,54.38,0.05,True,69.66,0.43,0.25,0.17,2026-06-18,6.21,0,,12.56,ATH,False,False
18-06-2026 09:00,TRALT,47.7,52.5,47.22,51.8,225074568.0,0.7,4.1,0.02,18536.36,4.1,117250775.9,91.96,0.17,True,64.32,0.81,0.17,0.64,2026-06-18,8.23,0,,42.16,64.0,False,False
18-06-2026 09:00,AFYON,12.75,13.52,12.75,13.42,4466407.0,0.1,0.67,0.03,1993.75,0.67,2097651.5,112.92,0.15,True,55.55,-0.16,-0.26,0.1,2026-06-18,5.09,0,,12.48,14.48,False,False
18-06-2026 09:00,BRMEN,13.62,14.86,13.62,14.86,1554698.0,0.0,1.24,0.27,357.56,1.24,449252.6,246.06,0.0,True,78.22,0.99,0.72,0.27,2026-06-18,9.99,0,,6.3,ATH,False,False
18-06-2026 09:00,INFO,4.51,4.88,4.35,4.88,110306382.0,0.0,0.37,0.08,374.36,0.37,43845950.0,151.58,0.0,True,76.91,0.19,0.1,0.1,2026-06-18,9.91,0,,3.57,ATH,False,False
18-06-2026 09:00,YATAS,40.12,44.0,39.9,44.0,2074740.0,0.0,3.88,0.17,2209.52,3.88,1084984.5,91.22,0.0,True,58.06,-0.48,-0.8,0.32,2026-06-18,8.8,0,,39.0,48.94,True,True
17-06-2026 09:00,GRTHO,230.0,252.5,225.1,252.5,3590769.0,0.0,22.5,1.71,1215.79,22.5,1847333.5,94.38,0.0,True,62.21,-0.53,-5.45,4.92,2026-06-17,9.93,0,,199.9,263.75,False,False
17-06-2026 09:00,PRKME,17.95,19.51,17.63,19.51,11464173.0,0.0,1.56,0.04,3527.91,1.56,2376324.4,382.43,0.0,True,60.76,-0.25,-0.41,0.16,2026-06-17,9.98,0,,16.99,22.3,False,False
17-06-2026 09:00,TURGG,28.82,31.7,28.66,31.7,2369457.0,0.0,2.88,0.1,2838.78,2.88,744068.5,218.45,0.0,True,53.67,-1.23,-1.36,0.13,2026-06-17,9.99,0,,27.42,46.64,True,True
17-06-2026 09:00,BMSTL,84.15,92.45,83.35,92.45,4724370.0,0.0,8.3,0.4,2001.27,8.3,1939425.6,143.6,0.0,True,70.13,0.97,0.2,0.77,2026-06-17,9.99,0,,76.8,122.9,False,False
17-06-2026 09:00,BANVT,154.0,164.4,153.5,164.4,902489.0,0.0,10.4,1.17,788.89,10.4,319743.1,182.25,0.0,True,62.4,-0.64,-1.3,0.66,2026-06-17,9.97,0,,144.6,173.7,False,False
16-06-2026 09:00,CEMZY,15.22,16.74,14.81,16.74,69614363.0,0.0,1.52,0.35,328.17,1.52,26350206.0,164.19,0.0,True,77.33,0.51,0.24,0.27,2026-06-16,9.99,0,,11.98,ATH,False,False
16-06-2026 09:00,ESCOM,5.55,6.16,5.53,6.16,92369103.0,0.0,0.61,0.04,1464.1,0.61,58590109.8,57.65,0.0,True,65.6,0.12,0.04,0.08,2026-06-16,10.0,0,,4.82,6.31,False,False
16-06-2026 09:00,ORGE,116.0,127.4,115.0,127.4,3886089.0,0.0,11.4,0.59,1832.2,11.4,2189079.9,77.52,0.0,True,72.48,7.47,6.74,0.73,2026-06-16,9.92,0,,104.1,ATH,False,False
16-06-2026 09:00,PSGYO,3.33,3.64,3.27,3.64,849474180.0,0.0,0.31,0.01,2284.62,0.31,397045905.5,113.95,0.0,True,65.28,0.1,0.09,0.01,2026-06-16,9.97,0,,2.8,ATH,False,False
16-06-2026 09:00,VANGD,90.85,99.9,90.7,99.9,656819.0,0.0,9.05,1.28,609.8,9.05,249307.9,163.46,0.0,True,68.01,0.35,-0.23,0.58,2026-06-16,9.96,0,,80.05,ATH,False,False
16-06-2026 09:00,OZKGY,14.62,15.3,14.52,15.2,7644243.0,0.1,0.58,0.1,474.26,0.58,4928523.7,55.1,0.17,True,72.07,0.47,0.3,0.17,2026-06-16,3.97,0,,12.09,16.48,False,False
16-06-2026 09:00,SKTAS,3.81,4.13,3.81,4.13,89307610.0,0.0,0.32,0.05,595.65,0.32,23536924.8,279.44,0.0,True,68.48,0.04,0.0,0.04,2026-06-16,9.84,0,,3.15,4.43,False,False
16-06-2026 09:00,VERUS,671.0,729.5,664.5,719.5,367560.0,10.0,48.5,13.55,257.93,48.5,121691.3,202.04,0.21,True,91.9,37.77,29.41,8.36,2026-06-16,7.39,0,,459.0,ATH,False,False
15-06-2026 09:00,DNISI,21.18,23.06,21.18,23.06,11490869.0,0.0,1.88,0.18,932.97,1.88,3051418.7,276.57,0.0,True,68.54,0.29,-0.05,0.34,2026-06-15,9.91,0,,18.78,24.76,False,False
15-06-2026 09:00,SELEC,112.0,123.4,108.0,123.4,12977927.0,0.0,11.4,2.43,370.1,11.4,2635427.5,392.44,0.0,True,71.36,3.39,1.71,1.68,2026-06-15,9.98,0,,91.55,ATH,False,False
