Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,direnc,destek,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
28-08-2026 13:00,A1CAP,8.42,8.49,8.41,8.48,1937952.0,0.01,0.06,0.01,757.14,0.06,633025.3,206.14,0.17,True,59.52,0.03,0.03,-0.0,2026-08-28,8.4,0.95,0,,8.57,8.32,False,False
28-08-2026 12:00,BIGEN,172.9,177.1,169.5,177.1,281169.0,0.0,4.2,0.54,677.78,4.2,168376.4,66.99,0.0,True,68.36,4.4,4.32,0.08,2026-08-28,175.0,1.2,0,,ATH,155.0,False,False
28-08-2026 12:00,AKENR,10.47,11.14,10.45,11.01,5742130.0,0.13,0.54,0.07,718.18,0.54,1260428.8,355.57,0.24,True,81.69,0.03,-0.02,0.05,2026-08-28,10.35,6.38,0,,11.74,10.37,False,False
28-08-2026 11:00,AKGRT,6.27,6.3,6.26,6.3,1556502.0,0.0,0.03,0.01,328.57,0.03,862234.4,80.52,0.0,True,66.85,0.01,0.0,0.01,2026-08-28,6.23,1.12,0,,6.34,6.18,False,False
28-08-2026 10:00,ALBTN,34.28,36.0,34.26,35.68,5558694.0,0.32,1.4,0.17,733.33,1.4,2081065.0,167.11,0.23,True,68.74,0.24,0.13,0.11,2026-08-28,34.02,4.88,0,,36.5,29.34,False,False
28-08-2026 08:00,ALGYO,3.71,3.79,3.71,3.78,7488218.0,0.01,0.07,0.0,2233.33,0.07,2016686.1,271.31,0.14,True,63.97,0.01,0.0,0.01,2026-08-28,3.7,2.16,0,,ATH,3.63,False,False
28-08-2026 07:00,BAYRK,4.4,4.61,4.39,4.61,6479651.0,0.0,0.21,0.03,677.78,0.21,1103569.6,487.15,0.0,True,76.15,0.02,-0.0,0.02,2026-08-28,4.37,5.49,0,,5.06,4.3,False,False
28-08-2026 07:00,ARTMS,39.56,40.46,39.5,40.46,141283.0,0.0,0.9,0.07,1150.0,0.9,49457.1,185.67,0.0,True,67.87,0.33,0.33,0.0,2026-08-28,39.56,2.28,0,,ATH,36.28,False,False
28-08-2026 07:00,ALTIN,77.68,78.3,77.64,78.23,3698494.0,0.07,0.55,0.01,6775.0,0.55,1991038.7,85.76,0.13,True,53.86,-0.23,-0.25,0.01,2026-08-28,77.51,0.93,0,,80.25,76.91,False,False
28-08-2026 07:00,AHGAZ,37.1,38.1,36.94,37.96,1471207.0,0.14,0.86,0.15,458.44,0.86,742693.6,98.09,0.16,True,85.68,0.68,0.64,0.04,2026-08-28,37.04,2.48,0,,ATH,32.64,False,False
28-08-2026 07:00,AKFYE,23.16,23.78,23.08,23.66,2290827.0,0.12,0.5,0.05,825.93,0.5,521145.9,339.57,0.24,True,59.34,-0.09,-0.12,0.03,2026-08-28,23.14,2.25,0,,24.16,23.1,True,True
27-08-2026 14:00,BIENY,22.04,22.6,22.02,22.52,1505517.0,0.08,0.48,0.05,860.0,0.48,595877.9,152.66,0.17,True,66.35,0.12,0.1,0.03,2026-08-27,21.98,2.46,0,,23.32,21.72,False,False
27-08-2026 14:00,AVHOL,35.28,36.2,35.28,36.14,652392.0,0.06,0.86,0.1,777.55,0.86,149523.7,336.31,0.07,True,61.59,-0.09,-0.14,0.05,2026-08-27,35.4,2.09,0,,36.72,35.1,True,True
27-08-2026 14:00,ARCLK,93.15,94.05,93.1,93.8,285170.0,0.25,0.65,0.02,3150.0,0.65,162498.3,75.49,0.38,True,60.97,0.12,0.13,-0.01,2026-08-27,93.35,0.48,0,,94.35,92.25,False,False
27-08-2026 14:00,BINHO,11.05,11.29,11.04,11.28,11377268.0,0.01,0.23,0.03,784.62,0.23,2691507.8,322.71,0.04,True,66.05,0.04,0.02,0.01,2026-08-27,10.95,3.01,0,,11.4,10.87,False,False
27-08-2026 13:00,ANELE,168.4,178.0,157.0,178.0,20336487.0,0.0,9.6,1.74,451.72,9.6,2217912.5,816.92,0.0,True,81.86,6.15,5.26,0.89,2026-08-27,165.0,7.88,2,157.0,ATH,157.0,False,False
27-08-2026 11:00,BALSU,10.4,10.88,10.38,10.8,24855917.0,0.08,0.4,0.02,1804.76,0.4,4806867.8,417.09,0.2,True,58.97,-0.08,-0.1,0.02,2026-08-27,10.51,2.76,0,,11.81,10.37,True,True
27-08-2026 09:00,ALKA,8.41,8.52,8.41,8.49,629118.0,0.03,0.08,0.02,400.0,0.08,206245.1,205.03,0.37,True,64.57,0.02,0.01,0.01,2026-08-27,8.34,1.8,0,,8.5,8.25,False,False
27-08-2026 08:00,ASTOR,346.75,357.75,346.75,355.75,14396252.0,2.0,9.0,1.05,757.14,9.0,4504906.2,219.57,0.22,True,70.63,2.3,1.73,0.57,2026-08-27,338.75,5.02,1,357.75,357.75,338.25,False,False
27-08-2026 08:00,BETAE,97.35,100.7,97.25,99.9,3792762.0,0.8,2.55,0.05,5566.67,2.55,1140953.7,232.42,0.31,True,53.6,-0.75,-0.82,0.07,2026-08-27,96.9,3.1,1,100.7,100.7,96.35,True,True
27-08-2026 08:00,ARENA,21.48,22.06,21.48,21.94,255110.0,0.12,0.46,0.03,1542.86,0.46,78457.7,225.16,0.26,True,62.42,0.05,0.06,-0.01,2026-08-27,21.32,2.91,0,,22.12,21.26,False,False
27-08-2026 08:00,BAHKM,153.5,159.0,151.1,159.0,870994.0,0.0,5.5,0.87,532.18,5.5,371991.2,134.14,0.0,True,88.96,6.34,4.94,1.4,2026-08-27,144.6,9.96,0,,ATH,125.5,False,False
27-08-2026 07:00,ADESE,0.86,0.87,0.86,0.87,6970539.0,0.0,0.01,0.0,150.0,0.01,4608666.7,51.25,0.0,True,51.73,-0.0,-0.0,0.0,2026-08-27,0.86,1.16,1,0.87,0.89,0.85,False,False
26-08-2026 13:00,AKSGY,10.13,10.27,10.13,10.27,2789807.0,0.0,0.14,0.01,1900.0,0.14,892683.1,212.52,0.0,True,62.07,0.05,0.05,0.0,2026-08-26,10.22,0.49,2,10.13,ATH,10.13,False,False
26-08-2026 13:00,AKSUE,43.86,44.66,43.82,44.64,253379.0,0.02,0.78,0.12,572.41,0.78,112263.3,125.7,0.03,True,61.64,0.07,0.0,0.07,2026-08-26,44.2,1.0,0,,44.94,43.08,False,False
26-08-2026 13:00,ATATR,15.35,15.72,15.29,15.7,6142160.0,0.02,0.35,0.06,473.77,0.35,3570848.8,72.01,0.06,True,72.58,0.03,-0.02,0.05,2026-08-26,15.2,3.29,0,,15.85,15.03,False,False
26-08-2026 12:00,ARSAN,4.21,4.35,4.19,4.33,11874247.0,0.02,0.12,0.01,1614.29,0.12,7406527.8,60.32,0.17,True,70.53,0.08,0.09,-0.0,2026-08-26,4.27,1.41,0,,ATH,4.07,False,False
