Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
11-08-2025 09:00,BALAT,65.05,78.3,65.05,77.5,530813.0,0.8,12.45,2.3,442.01,12.45,335946.3,58.01,0.06,True,68.32,3.13,0.72,2.41,2025-08-11,19.14,0,,46.68,ATH,False,False
04-08-2025 09:00,BERA,16.49,17.82,16.43,17.58,60414698.0,0.24,1.09,0.39,180.93,1.09,34230364.0,76.49,0.22,True,63.51,0.13,-0.14,0.27,2025-08-04,6.35,0,,13.4,18.68,False,False
04-08-2025 09:00,MAKIM,19.09,21.98,18.98,21.66,16303093.0,0.32,2.57,0.3,759.53,2.57,9509379.1,71.44,0.12,True,57.91,0.08,-0.34,0.43,2025-08-04,13.46,0,,15.56,27.42,False,False
04-08-2025 09:00,AHGAZ,30.08,34.42,29.96,33.8,42059038.0,0.62,3.72,0.94,297.44,3.72,24535394.3,71.42,0.17,True,76.91,2.56,2.06,0.51,2025-08-04,12.67,0,,16.51,ATH,False,False
04-08-2025 09:00,PLTUR,26.52,28.86,26.52,28.52,21675225.0,0.34,2.0,0.21,870.87,2.0,13217354.1,63.99,0.17,True,55.15,-0.1,-0.4,0.3,2025-08-04,7.62,0,,22.16,33.32,False,False
04-08-2025 09:00,TATGD,12.51,13.69,12.47,13.51,14617397.0,0.18,1.0,0.2,397.51,1.0,9557775.3,52.94,0.18,True,61.4,-0.03,-0.26,0.23,2025-08-04,7.99,0,,10.41,14.31,False,False
04-08-2025 09:00,IHGZT,1.72,2.17,1.71,2.09,436710958.0,0.08,0.37,0.08,380.52,0.37,287264108.9,52.02,0.22,True,78.23,0.09,0.02,0.07,2025-08-04,22.22,0,,1.23,2.23,False,False
04-08-2025 09:00,TLMAN,85.45,97.4,85.25,94.0,2153585.0,3.4,8.55,1.55,453.4,8.55,948879.7,126.96,0.4,True,59.46,-1.33,-2.9,1.57,2025-08-04,9.94,0,,71.7,100.8,False,False
04-08-2025 09:00,QNBTR,370.94,542.09,370.94,542.09,467495.0,0.0,171.15,33.78,406.72,171.15,158136.47,195.63,0.0,True,92.39,42.75,11.15,31.6,2025-08-04,60.65,0,,151.18,ATH,False,False
04-08-2025 09:00,QNBFK,51.77,70.87,51.77,70.87,1854391.17,0.0,19.09,3.58,432.75,19.09,514157.24,260.67,0.0,True,86.71,3.39,-0.58,3.96,2025-08-04,50.56,0,,23.94,ATH,False,False
04-08-2025 09:00,BASCM,15.5,19.01,15.5,18.48,1618260.0,0.53,2.98,0.78,281.56,2.98,838195.9,93.06,0.18,True,83.16,0.97,0.12,0.85,2025-08-04,17.86,0,,8.86,ATH,False,False
04-08-2025 09:00,EKOS,5.62,6.64,5.56,6.4,241775256.0,0.25,0.77,0.11,588.89,0.77,102356914.8,136.21,0.32,True,58.03,-0.03,-0.12,0.1,2025-08-04,16.17,0,,4.31,6.85,False,False
04-08-2025 09:00,SRVGY,3.27,3.86,3.26,3.71,497759644.0,0.15,0.44,0.11,289.38,0.44,241455273.9,106.15,0.34,True,59.29,-0.09,-0.23,0.14,2025-08-04,14.15,0,,2.35,5.07,True,False
28-07-2025 09:00,VRGYO,2.97,4.08,2.96,3.81,447881140.0,0.27,0.84,0.13,546.15,0.84,210975540.5,112.29,0.32,True,71.09,0.11,-0.03,0.14,2025-07-28,28.72,0,,2.17,ATH,False,False
28-07-2025 09:00,YAPRK,13.14,17.51,13.06,16.3,104669879.67,1.21,3.15,0.16,1877.61,3.15,45963388.56,127.72,0.38,True,43.78,-3.77,-3.77,0.0,2025-07-28,24.23,1,17.51,11.62,17.51,False,False
28-07-2025 09:00,ENSRI,6.42,9.67,6.42,9.16,174662213.27,0.51,2.74,0.49,459.2,2.74,59829161.04,191.93,0.19,True,85.66,0.6,0.2,0.41,2025-07-28,48.27,0,,3.23,ATH,False,False
28-07-2025 09:00,DAPGM,10.8,13.5,10.49,13.27,419738381.0,0.23,2.47,0.36,591.88,2.47,121400790.5,245.75,0.09,True,79.17,0.91,0.61,0.3,2025-07-28,24.6,0,,4.36,ATH,False,False
28-07-2025 09:00,DURDO,3.73,4.59,3.67,4.35,138862482.0,0.24,0.62,0.1,526.26,0.62,40906664.9,239.46,0.39,True,67.65,0.02,-0.09,0.1,2025-07-28,17.57,0,,2.86,4.67,True,False
28-07-2025 09:00,OTKAR,504.5,571.5,499.0,570.0,4236009.0,1.5,65.5,16.82,289.3,65.5,2142809.6,97.68,0.02,True,69.35,14.35,-3.02,17.38,2025-07-28,12.98,0,,358.0,ATH,False,False
28-07-2025 09:00,OBASE,33.54,40.26,33.22,39.74,8800820.0,0.52,6.2,0.54,1052.42,6.2,3505871.1,151.03,0.08,True,69.48,0.81,0.02,0.79,2025-07-28,18.49,0,,27.2,ATH,False,False
28-07-2025 09:00,NTGAZ,10.0,11.75,9.99,11.48,63815276.0,0.27,1.48,0.22,569.68,1.48,31525839.9,102.42,0.18,True,71.77,0.85,0.73,0.11,2025-07-28,15.15,0,,5.28,ATH,False,False
21-07-2025 09:00,BAHKM,48.7,58.4,48.1,57.45,10662618.0,0.95,8.75,1.18,640.9,8.75,4694476.6,127.13,0.11,True,70.46,0.77,-0.52,1.29,2025-07-21,18.94,0,,39.68,ATH,False,False
21-07-2025 09:00,MTRKS,20.44,23.98,20.4,23.38,18084844.0,0.6,2.94,0.36,705.48,2.94,5772353.3,213.3,0.2,True,61.61,-0.03,-0.18,0.15,2025-07-21,14.38,0,,17.13,26.96,False,False
21-07-2025 09:00,DMSAS,6.97,7.71,6.97,7.64,29408812.0,0.07,0.67,0.02,2691.67,0.67,13146642.3,123.7,0.1,True,53.94,-0.13,-0.12,-0.01,2025-07-21,9.61,0,,6.55,8.24,False,False
21-07-2025 09:00,AKYHO,3.09,3.7,3.07,3.59,53309939.0,0.11,0.5,0.04,1036.36,0.5,21587209.6,146.95,0.22,True,57.32,-0.0,-0.02,0.01,2025-07-21,16.56,0,,2.67,4.62,False,False
21-07-2025 09:00,AGESA,158.3,172.0,157.9,168.4,2266419.0,3.6,10.1,1.91,428.8,10.1,1343051.8,68.75,0.36,True,66.87,5.77,3.71,2.05,2025-07-21,7.6,0,,120.4,ATH,False,False
21-07-2025 09:00,ONRYT,64.45,76.15,63.85,75.15,21305485.0,1.0,10.7,0.92,1063.04,10.7,12731019.1,67.35,0.09,True,58.16,-0.52,-1.58,1.06,2025-07-21,17.88,0,,56.1,ATH,False,False
21-07-2025 09:00,DOKTA,21.76,24.12,21.62,23.46,4013798.0,0.66,1.7,0.21,725.24,1.7,2457862.6,63.3,0.39,True,57.71,-0.15,-0.5,0.34,2025-07-21,7.81,0,,18.0,25.9,False,False
21-07-2025 09:00,MNDTR,5.77,6.43,5.77,6.29,21780474.0,0.14,0.52,0.04,1305.41,0.52,10529270.3,106.86,0.27,True,60.28,0.01,-0.08,0.09,2025-07-21,8.64,0,,4.73,6.4,False,False
14-07-2025 09:00,NUGYO,8.16,9.99,8.11,9.78,47376960.0,0.21,1.62,0.18,805.03,1.62,23130983.7,104.82,0.13,True,73.73,0.27,0.02,0.25,2025-07-14,20.89,0,,5.81,ATH,False,False
14-07-2025 09:00,IMASM,3.23,4.16,3.23,4.16,550072882.0,0.0,0.93,0.13,620.93,0.93,313821515.9,75.28,0.0,True,70.91,0.19,0.08,0.11,2025-07-14,29.19,0,,2.23,ATH,False,False
14-07-2025 09:00,VKING,31.66,35.58,30.64,35.58,3129565.0,0.0,3.92,0.74,429.73,3.92,1020416.0,206.7,0.0,True,65.13,0.24,-0.71,0.95,2025-07-14,14.04,0,,24.98,39.86,False,False
14-07-2025 09:00,DZGYO,6.66,8.61,6.64,8.15,107860553.0,0.46,1.49,0.17,761.27,1.49,41814096.3,157.95,0.31,True,59.94,-0.44,-0.65,0.21,2025-07-14,24.62,1,8.61,5.18,8.61,True,False
14-07-2025 09:00,ASGYO,10.99,11.88,10.8,11.79,38352436.0,0.09,0.8,0.16,409.55,0.8,19292461.7,98.79,0.11,True,63.59,-0.03,-0.19,0.16,2025-07-14,7.28,0,,10.0,13.1,False,False
14-07-2025 09:00,HDFGS,1.69,2.14,1.68,2.14,1061264229.0,0.0,0.45,0.08,429.41,0.45,602575692.7,76.12,0.0,True,78.14,0.09,0.02,0.07,2025-07-14,28.14,0,,1.13,ATH,False,False
