Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
27-02-2026 17:00,TDGYO,19.37,19.7,19.2,19.7,123474.0,0.0,0.33,0.02,1962.5,0.33,64633.9,91.04,0.0,True,47.07,-0.21,-0.26,0.06,2026-02-27,19.5,1.03,0,,19.1,19.98,True,False
27-02-2026 17:00,HUBVC,4.53,4.71,4.52,4.71,713789.0,0.0,0.18,0.01,3500.0,0.18,407342.0,75.23,0.0,True,55.11,-0.0,-0.0,-0.0,2026-02-27,4.66,1.07,0,,4.5,4.79,False,False
27-02-2026 17:00,BEYAZ,28.52,29.38,28.5,29.38,175685.0,0.0,0.86,0.04,2163.16,0.86,75391.2,133.03,0.0,True,56.59,-0.07,-0.1,0.03,2026-02-27,28.8,2.01,0,,28.3,29.68,False,False
27-02-2026 17:00,TKNSA,21.48,22.96,21.38,22.64,4628796.0,0.32,1.16,0.17,598.8,1.16,877123.2,427.72,0.28,True,70.32,-0.07,-0.27,0.19,2026-02-27,20.88,8.43,0,,20.66,23.56,False,False
27-02-2026 17:00,LIDER,80.35,83.25,78.3,83.25,543000.0,0.0,2.9,0.28,935.71,2.9,117018.5,364.03,0.0,True,65.96,0.19,0.12,0.07,2026-02-27,80.95,2.84,0,,79.85,ATH,False,False
27-02-2026 17:00,GSDDE,9.78,10.08,9.78,10.03,390642.0,0.05,0.25,0.02,1215.79,0.25,177817.3,119.69,0.2,True,59.88,-0.03,-0.05,0.02,2026-02-27,9.8,2.35,0,,9.7,10.48,False,False
27-02-2026 17:00,IHAAS,80.0,85.25,78.5,85.0,577326.0,0.25,5.0,0.33,1415.15,5.0,116397.5,396.0,0.05,True,62.17,1.99,2.34,-0.35,2026-02-27,82.7,2.78,0,,60.3,ATH,False,False
27-02-2026 16:00,PRZMA,12.59,13.12,12.58,13.07,515853.0,0.05,0.48,0.06,686.89,0.48,143071.2,260.56,0.1,True,77.2,0.12,0.09,0.04,2026-02-27,12.45,4.98,0,,12.2,ATH,False,False
27-02-2026 15:00,MEGMT,76.25,78.7,76.15,78.3,3834487.0,0.4,2.05,0.57,262.83,2.05,1548414.0,147.64,0.2,True,77.57,0.93,0.58,0.35,2026-02-27,74.1,5.67,0,,72.1,ATH,False,False
27-02-2026 15:00,RYSAS,21.1,21.84,20.8,21.82,7191902.0,0.02,0.72,0.13,445.45,0.72,3459622.6,107.88,0.03,True,89.06,0.65,0.55,0.11,2026-02-27,20.76,5.11,0,,18.6,ATH,False,False
27-02-2026 14:00,ONRYT,64.85,66.45,64.8,66.2,396565.0,0.25,1.35,0.2,575.0,1.35,97135.1,308.26,0.19,True,64.64,-0.25,-0.55,0.31,2026-02-27,64.3,2.95,0,,63.7,69.65,True,False
