Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
30-07-2026 16:00,HEKTS,2.85,2.91,2.85,2.9,82443341.0,0.01,0.05,0.01,525.0,0.05,38808093.6,112.44,0.2,True,56.3,-0.02,-0.03,0.01,2026-07-30,2.81,3.2,0,,ATL,3.16,True,False
30-07-2026 16:00,ALTIN,67.88,68.33,67.86,68.29,1373865.0,0.04,0.41,0.01,3053.85,0.41,828543.2,65.82,0.1,True,48.04,-0.24,-0.27,0.03,2026-07-30,67.88,0.6,0,,67.89,68.94,True,False
30-07-2026 16:00,BLUME,31.5,31.98,31.42,31.94,359587.0,0.04,0.44,0.0,1.2384898975268888e+17,0.44,130983.8,174.53,0.09,True,54.54,-0.14,-0.15,0.02,2026-07-30,31.56,1.2,0,,31.46,32.64,False,False
30-07-2026 16:00,AVHOL,38.96,40.72,38.58,40.4,751518.0,0.32,1.44,0.14,900.0,1.44,486272.1,54.55,0.22,True,60.09,0.31,0.24,0.07,2026-07-30,39.66,1.87,0,,38.68,41.06,False,False
30-07-2026 16:00,KUYAS,65.5,70.15,62.25,69.35,6262822.0,0.8,3.85,0.01,38400.0,3.85,1129452.6,454.5,0.21,True,56.08,-0.43,-0.44,0.01,2026-07-30,69.05,0.43,0,,66.15,71.25,False,False
30-07-2026 14:00,SUNTK,43.96,46.74,43.22,46.74,1095725.0,0.0,2.78,0.34,722.49,2.78,408511.6,168.22,0.0,True,75.06,0.8,0.44,0.36,2026-07-30,42.5,9.98,0,,41.22,ATH,False,False
30-07-2026 14:00,ENTRA,5.11,5.31,5.11,5.3,20152322.0,0.01,0.19,0.01,1257.14,0.19,12131601.7,66.11,0.05,True,81.71,0.14,0.15,-0.01,2026-07-30,5.18,2.32,0,,4.67,ATH,False,False
30-07-2026 14:00,MOPAS,29.12,29.48,29.08,29.46,540149.0,0.02,0.34,0.02,2025.0,0.34,325260.7,66.07,0.06,True,40.45,-0.41,-0.47,0.05,2026-07-30,29.34,0.41,0,,ATL,31.28,True,False
30-07-2026 13:00,EMKEL,18.5,18.72,18.4,18.67,596964.0,0.05,0.17,0.01,3300.0,0.17,333561.0,78.97,0.29,True,41.86,-0.31,-0.37,0.06,2026-07-30,18.35,1.74,0,,18.02,19.87,True,False
30-07-2026 12:00,FORTE,103.4,107.4,103.3,106.8,524490.0,0.6,3.4,0.22,1445.45,3.4,126754.3,313.78,0.18,True,62.5,-0.61,-0.79,0.18,2026-07-30,101.2,5.53,0,,104.9,109.6,True,True
30-07-2026 12:00,PENTA,13.0,13.22,13.0,13.16,179305.0,0.06,0.16,0.03,515.38,0.16,117756.4,52.27,0.38,True,55.77,-0.07,-0.11,0.04,2026-07-30,12.9,2.02,0,,12.8,14.05,True,False
30-07-2026 12:00,ATATP,221.2,230.8,221.0,228.9,269497.0,1.9,7.7,1.08,612.96,7.7,162282.3,66.07,0.25,True,53.8,-4.66,-6.89,2.23,2026-07-30,216.0,5.97,0,,208.5,280.0,True,False
30-07-2026 12:00,TEKTU,7.72,8.09,7.71,8.02,2070692.0,0.07,0.3,0.02,1328.57,0.3,569450.4,263.63,0.23,True,52.8,-0.12,-0.13,0.01,2026-07-30,7.75,3.48,0,,ATL,8.73,True,True
30-07-2026 11:00,EUPWR,85.7,88.75,85.6,88.1,3937552.0,0.65,2.4,0.12,1900.0,2.4,1785042.9,120.59,0.27,True,40.7,-3.03,-3.28,0.25,2026-07-30,85.1,3.53,0,,84.05,99.9,True,True
30-07-2026 11:00,LIDER,94.4,95.9,94.1,95.6,861965.0,0.3,1.2,0.16,650.0,1.2,545073.1,58.14,0.25,True,46.29,-1.26,-1.82,0.55,2026-07-30,94.35,1.32,0,,93.5,124.4,True,False
30-07-2026 11:00,AKHAN,41.94,44.28,41.94,44.12,1079912.0,0.16,2.18,0.05,4260.0,2.18,461853.2,133.82,0.07,True,60.18,0.17,0.25,-0.08,2026-07-30,42.58,3.62,0,,39.96,44.5,False,False
30-07-2026 11:00,KRONT,22.3,23.2,22.28,22.96,746125.0,0.24,0.66,0.1,587.5,0.66,208322.3,258.16,0.36,True,58.33,-0.18,-0.27,0.09,2026-07-30,22.0,4.36,0,,21.4,24.0,False,False
30-07-2026 11:00,BETAE,79.9,84.8,78.85,84.15,6242296.0,0.65,4.25,0.62,585.48,4.25,2820083.4,121.35,0.15,True,55.96,-1.72,-2.42,0.7,2026-07-30,78.05,7.82,0,,75.2,97.85,True,False
30-07-2026 11:00,GZNMI,61.9,62.95,61.3,62.95,168446.0,0.0,1.05,0.02,4100.0,1.05,101194.4,66.46,0.0,True,52.97,-0.53,-0.74,0.21,2026-07-30,61.4,2.52,0,,54.6,68.85,True,False
30-07-2026 11:00,BALSU,14.59,15.15,14.58,15.12,12197573.0,0.03,0.53,0.01,10500.0,0.53,5927872.2,105.77,0.06,True,52.14,-0.3,-0.35,0.05,2026-07-30,14.25,6.11,0,,14.25,15.59,True,False
30-07-2026 11:00,AKGRT,6.56,6.68,6.55,6.68,884289.0,0.0,0.12,0.01,1900.0,0.12,584941.4,51.18,0.0,True,41.05,-0.1,-0.1,0.0,2026-07-30,6.54,2.14,0,,ATL,7.12,True,True
30-07-2026 10:00,CUSAN,23.32,23.56,23.08,23.54,183921.0,0.02,0.22,0.05,340.0,0.22,69819.1,163.43,0.09,True,45.44,-0.39,-0.49,0.1,2026-07-30,23.2,1.47,0,,22.82,28.74,True,False
30-07-2026 10:00,CRDFA,44.64,45.1,44.36,45.1,323551.0,0.0,0.46,0.09,400.0,0.46,208036.6,55.53,0.0,True,64.9,0.19,0.19,0.0,2026-07-30,44.64,1.03,0,,42.94,ATH,False,False
30-07-2026 10:00,CELHA,23.88,24.74,23.72,24.52,224184.0,0.22,0.64,0.07,841.18,0.64,138333.2,62.06,0.34,True,50.07,0.08,0.17,-0.09,2026-07-30,24.5,0.08,0,,22.24,25.02,False,False
30-07-2026 10:00,KORDS,67.5,69.85,67.35,69.6,1084013.0,0.25,2.1,0.29,624.14,2.1,259227.0,318.17,0.12,True,57.18,-0.77,-1.11,0.34,2026-07-30,67.25,3.49,0,,66.1,75.55,True,False
30-07-2026 10:00,MAGEN,37.3,38.08,36.96,38.08,1531259.0,0.0,0.78,0.07,983.33,0.78,665760.8,130.0,0.0,True,44.15,-0.61,-0.63,0.02,2026-07-30,37.32,2.04,0,,37.24,40.04,True,True
30-07-2026 10:00,TNZTP,27.26,28.1,27.12,28.02,1625037.0,0.08,0.76,0.12,555.17,0.76,511662.2,217.6,0.11,True,78.78,0.48,0.42,0.05,2026-07-30,27.26,2.79,0,,24.48,ATH,False,False
30-07-2026 10:00,AKFIS,87.5,93.25,87.5,93.25,1541346.0,0.0,5.75,0.73,682.31,5.75,371537.1,314.86,0.0,True,65.05,-0.86,-1.51,0.65,2026-07-30,86.45,7.87,0,,84.15,95.4,True,False
30-07-2026 10:00,AZTEK,4.11,4.19,4.1,4.19,865803.0,0.0,0.08,0.01,700.0,0.08,475126.4,82.23,0.0,True,45.94,-0.05,-0.06,0.01,2026-07-30,4.11,1.95,0,,4.08,4.46,True,True
30-07-2026 10:00,FONET,5.03,5.13,5.0,5.11,3565555.0,0.02,0.08,0.0,2566.67,0.08,1692300.2,110.69,0.25,True,41.14,-0.08,-0.07,-0.01,2026-07-30,5.04,1.39,0,,4.97,5.48,False,False
29-07-2026 17:00,PASEU,131.0,137.5,130.4,136.6,3704983.0,0.9,5.6,0.97,477.32,5.6,959314.4,286.21,0.16,True,82.58,4.55,3.9,0.65,2026-07-29,127.0,7.56,0,,108.0,ATH,False,False
29-07-2026 17:00,SURGY,66.6,68.0,65.75,67.75,673031.0,0.25,1.15,0.06,1816.67,1.15,274597.7,145.1,0.22,True,46.36,-0.66,-0.63,-0.03,2026-07-29,67.2,0.82,2,65.75,65.75,71.1,True,True
29-07-2026 17:00,ISGYO,24.42,25.2,24.34,25.2,510086.0,0.0,0.78,0.01,6400.0,0.78,143068.4,256.53,0.0,True,58.9,-0.08,-0.15,0.06,2026-07-29,25.1,0.4,2,24.34,24.34,27.7,False,False
29-07-2026 17:00,HEDEF,230.4,264.0,228.5,264.0,2745720.0,0.0,33.6,2.58,1202.33,33.6,430176.4,538.28,0.0,True,75.35,-0.53,-2.03,1.49,2026-07-29,240.0,10.0,0,,216.0,ATH,False,False
29-07-2026 17:00,ESCAR,46.12,47.4,46.06,47.06,3889066.0,0.34,0.94,0.03,2837.5,0.94,508055.7,665.48,0.36,True,53.51,-0.3,-0.3,0.0,2026-07-29,46.86,0.43,0,,45.36,47.92,True,True
29-07-2026 17:00,ADESE,0.86,0.87,0.85,0.87,23041268.0,0.0,0.01,0.0,900.0,0.01,11727406.5,96.47,0.0,True,38.31,-0.01,-0.01,0.0,2026-07-29,0.88,-1.14,0,,0.86,0.94,True,True
29-07-2026 16:00,GOLDA,13.68,15.1,13.55,14.82,41365039.0,0.28,1.14,0.01,10263.64,1.14,11783725.8,251.04,0.25,True,51.74,-0.65,-0.75,0.1,2026-07-29,14.0,5.86,1,15.1,13.0,15.1,True,False
29-07-2026 16:00,DSTKF,1803.0,1872.0,1791.0,1857.0,278247.0,15.0,54.0,6.7,705.97,54.0,127386.0,118.43,0.28,True,47.81,-51.96,-58.24,6.27,2026-07-29,1793.0,3.57,0,,1680.0,2090.0,True,False
29-07-2026 16:00,REEDR,6.6,6.75,6.59,6.73,2038851.0,0.02,0.13,0.01,1525.0,0.13,1143729.8,78.26,0.15,True,57.58,-0.03,-0.03,0.0,2026-07-29,6.69,0.6,1,6.75,6.6,6.75,True,True
29-07-2026 16:00,ZGYO,36.3,37.42,36.12,37.14,1273271.0,0.28,0.84,0.08,950.0,0.84,405669.4,213.87,0.33,True,49.2,-0.36,-0.39,0.03,2026-07-29,37.12,0.05,0,,36.22,37.68,False,False
29-07-2026 16:00,ZRGYO,17.79,18.2,17.56,18.14,216226.0,0.06,0.35,0.02,1742.11,0.35,74086.7,191.86,0.17,True,57.26,-0.03,-0.05,0.02,2026-07-29,18.2,-0.33,2,17.56,17.56,18.2,False,False
29-07-2026 15:00,SEYKM,4.73,4.9,4.7,4.9,520909.0,0.0,0.17,0.02,962.5,0.17,255373.8,103.98,0.0,True,59.65,-0.02,-0.04,0.02,2026-07-29,4.72,3.81,1,4.9,4.62,5.1,True,False
29-07-2026 15:00,ENJSA,107.7,109.4,106.9,109.4,1124023.0,0.0,1.7,0.11,1445.45,1.7,470311.1,139.0,0.0,True,61.85,0.46,0.35,0.12,2026-07-29,108.6,0.74,2,106.9,106.9,111.8,False,False
29-07-2026 14:00,RYSAS,23.14,23.74,23.14,23.74,6276520.0,0.0,0.6,0.16,279.75,0.6,3404751.6,84.35,0.0,True,85.11,0.56,0.45,0.11,2026-07-29,22.04,7.71,0,,21.06,ATH,False,False
29-07-2026 14:00,RGYAS,198.4,201.3,198.3,201.1,165703.0,0.2,2.7,0.01,26900.0,2.7,86912.5,90.65,0.07,True,51.11,-0.94,-1.03,0.09,2026-07-29,199.9,0.6,0,,197.9,207.0,True,True
29-07-2026 13:00,ISKPL,7.81,8.51,7.72,8.35,22493788.0,0.16,0.54,0.05,1073.91,0.54,9612488.9,134.01,0.3,True,40.32,-0.4,-0.36,-0.05,2026-07-29,8.5,-1.76,0,,7.65,10.13,True,True
29-07-2026 13:00,BNTAS,6.04,6.3,6.03,6.23,4406638.0,0.07,0.19,0.02,850.0,0.19,741377.4,494.39,0.37,True,70.52,0.0,-0.02,0.02,2026-07-29,5.98,4.18,1,6.3,5.96,6.3,False,False
29-07-2026 13:00,SKTAS,3.12,3.24,3.11,3.24,4630853.0,0.0,0.12,0.0,11900.0,0.12,1132694.0,308.84,0.0,True,51.04,-0.04,-0.05,0.0,2026-07-29,3.17,2.21,0,,3.1,3.4,True,True
29-07-2026 12:00,INFO,6.22,6.5,6.2,6.44,11411077.0,0.06,0.22,0.03,547.06,0.22,3778678.6,201.99,0.27,True,60.98,-0.03,-0.06,0.03,2026-07-29,6.05,6.45,0,,5.9,6.75,False,False
29-07-2026 12:00,DMLKT,6.02,6.03,6.01,6.03,853882.0,0.0,0.01,0.0,400.0,0.01,461619.2,84.98,0.0,True,50.57,0.0,0.0,-0.0,2026-07-29,6.03,0.0,0,,6.02,6.06,False,False
29-07-2026 12:00,EPLAS,5.46,5.6,5.4,5.6,1359026.0,0.0,0.14,0.01,900.0,0.14,394434.6,244.55,0.0,True,63.05,-0.0,-0.01,0.01,2026-07-29,5.36,4.48,0,,5.3,5.68,False,False
29-07-2026 11:00,GMTAS,45.84,47.32,45.68,47.0,399520.0,0.32,1.16,0.09,1248.84,1.16,170721.4,134.02,0.28,True,57.39,0.06,0.02,0.04,2026-07-29,46.36,1.38,0,,45.64,47.46,False,False
29-07-2026 11:00,KAREL,9.96,10.15,9.95,10.15,3439359.0,0.0,0.19,0.02,660.0,0.19,1976035.2,74.05,0.0,True,60.66,-0.02,-0.04,0.02,2026-07-29,9.91,2.42,0,,9.79,10.2,False,False
29-07-2026 11:00,KARTN,220.8,231.0,219.6,230.5,493262.0,0.5,9.7,0.31,3029.03,9.7,173033.3,185.07,0.05,True,59.84,0.81,1.6,-0.79,2026-07-29,220.0,4.77,0,,215.7,238.3,False,False
29-07-2026 10:00,CEMTS,9.02,9.77,8.98,9.57,3525080.0,0.2,0.55,0.05,1095.65,0.55,440006.7,701.14,0.36,True,74.34,-0.0,-0.04,0.03,2026-07-29,8.89,7.65,1,9.77,8.88,9.77,True,True
29-07-2026 10:00,ANHYT,107.5,109.8,106.1,109.6,330946.0,0.2,2.1,0.32,556.25,2.1,209236.4,58.17,0.1,True,67.78,0.97,0.84,0.13,2026-07-29,107.1,2.33,0,,103.8,ATH,False,False
29-07-2026 10:00,EFOR,20.82,21.6,20.76,21.46,30844359.0,0.14,0.64,0.2,226.53,0.64,14280258.3,115.99,0.22,True,89.42,0.67,0.53,0.14,2026-07-29,20.62,4.07,1,21.6,17.28,21.6,False,False
29-07-2026 10:00,HKTM,11.02,11.43,10.92,11.32,1790534.0,0.11,0.3,0.06,445.45,0.3,547815.8,226.85,0.37,True,70.35,0.11,0.09,0.01,2026-07-29,11.04,2.54,1,11.43,10.55,11.43,False,False
29-07-2026 10:00,TSPOR,0.96,1.0,0.96,1.0,109584628.0,0.0,0.04,0.0,1233.33,0.04,20138553.3,444.15,0.0,True,65.68,0.0,0.0,0.0,2026-07-29,0.96,4.17,0,,0.94,ATH,False,False
29-07-2026 10:00,MARMR,2.28,2.38,2.27,2.38,29222467.0,0.0,0.1,0.01,1011.11,0.1,6932670.5,321.52,0.0,True,73.43,0.0,-0.01,0.02,2026-07-29,2.17,9.68,1,2.38,2.16,2.49,False,False
29-07-2026 10:00,KMPUR,20.02,20.46,20.02,20.42,322105.0,0.04,0.4,0.0,9900.0,0.4,210678.4,52.89,0.1,True,49.11,-0.08,-0.02,-0.06,2026-07-29,20.36,0.29,0,,19.25,22.48,False,False
29-07-2026 10:00,GSRAY,1.0,1.01,0.99,1.01,77807550.0,0.0,0.01,0.0,900.0,0.01,17161719.0,353.38,0.0,True,52.96,-0.0,-0.0,0.0,2026-07-29,1.0,1.0,3,,0.99,1.02,False,False
29-07-2026 10:00,FROTO,77.45,77.95,77.25,77.9,4047286.0,0.05,0.45,0.0,8900.0,0.45,2075364.6,95.02,0.11,True,42.3,-0.48,-0.53,0.05,2026-07-29,77.55,0.45,0,,ATL,80.2,True,True
29-07-2026 10:00,POLHO,20.64,21.12,20.64,21.1,1471684.0,0.02,0.46,0.03,1669.23,0.46,272754.3,439.56,0.04,True,52.11,-0.22,-0.27,0.05,2026-07-29,20.64,2.23,0,,20.54,22.48,True,True
28-07-2026 17:00,ANELE,110.9,128.7,107.2,128.7,6484535.0,0.0,17.8,2.34,660.68,17.8,1708771.4,279.49,0.0,True,63.48,-2.65,-2.83,0.18,2026-07-28,117.0,10.0,0,,105.3,135.5,False,False
