Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
31-03-2026 14:00,KBORU,17.71,18.38,17.63,18.36,2854963.0,0.02,0.65,0.05,1226.53,0.65,819879.5,248.22,0.03,True,66.81,0.02,-0.03,0.05,2026-03-31,17.55,4.62,0,,17.44,18.52,False,False
31-03-2026 14:00,BULGS,43.78,45.24,43.56,44.98,10119968.0,0.26,1.2,0.36,237.08,1.2,2092224.5,383.69,0.22,True,79.68,0.34,-0.13,0.47,2026-03-31,41.14,9.33,0,,40.36,45.56,False,False
31-03-2026 14:00,ATLAS,7.38,7.61,7.32,7.58,187025.0,0.03,0.2,0.02,900.0,0.2,119871.1,56.02,0.15,True,45.12,-0.16,-0.18,0.02,2026-03-31,7.55,0.4,0,,7.29,8.72,True,True
31-03-2026 14:00,TSPOR,0.91,0.93,0.91,0.93,98114911.0,0.0,0.02,0.0,900.0,0.02,16420881.9,497.5,0.0,True,56.79,-0.0,-0.0,0.0,2026-03-31,0.91,2.2,0,,0.9,0.95,False,False
31-03-2026 14:00,AHSGY,17.02,17.99,16.98,17.86,775660.0,0.13,0.84,0.04,1853.49,0.84,388350.1,99.73,0.15,True,54.82,-0.31,-0.4,0.09,2026-03-31,16.96,5.31,0,,ATL,19.08,True,False
31-03-2026 14:00,AKHAN,25.84,26.22,25.82,26.12,1436546.0,0.1,0.28,0.02,1066.67,0.28,650664.5,120.78,0.36,True,62.33,0.02,-0.08,0.1,2026-03-31,25.3,3.24,0,,24.96,27.06,False,False
31-03-2026 14:00,KARSN,9.25,9.57,9.25,9.53,3172261.0,0.04,0.28,0.02,1455.56,0.28,1021515.8,210.54,0.14,True,64.8,-0.02,-0.05,0.03,2026-03-31,9.23,3.25,0,,9.21,9.81,True,False
31-03-2026 13:00,SELVA,2.13,2.22,2.12,2.2,18061235.0,0.02,0.07,0.01,900.0,0.07,5265381.5,243.02,0.29,True,66.85,0.01,0.0,0.01,2026-03-31,2.12,3.77,0,,2.06,2.32,False,False
31-03-2026 13:00,OBAMS,8.43,8.6,8.43,8.56,18559394.0,0.04,0.13,0.02,519.05,0.13,6704349.4,176.83,0.31,True,65.28,0.02,-0.01,0.03,2026-03-31,8.36,2.39,0,,8.06,8.88,False,False
31-03-2026 12:00,CGCAM,36.3,37.48,36.24,37.24,1579572.0,0.24,0.94,0.13,623.08,0.94,659829.2,139.39,0.26,True,74.58,0.19,0.05,0.14,2026-03-31,35.62,4.55,0,,35.1,37.8,False,False
31-03-2026 12:00,KRDMD,29.64,30.34,29.58,30.14,13541992.0,0.2,0.5,0.06,762.07,0.5,4956833.0,173.2,0.4,True,67.57,0.11,0.03,0.08,2026-03-31,29.12,3.5,0,,28.98,30.42,False,False
31-03-2026 12:00,PETKM,20.5,21.2,20.44,21.16,19275736.0,0.04,0.66,0.15,345.95,0.66,12702502.9,51.75,0.06,True,75.7,0.34,0.24,0.1,2026-03-31,20.5,3.22,0,,18.76,22.32,False,False
31-03-2026 11:00,TKFEN,95.65,102.6,95.6,102.1,3984813.0,0.5,6.45,0.23,2704.35,6.45,1282968.8,210.59,0.08,True,68.38,1.51,1.72,-0.21,2026-03-31,96.3,6.02,0,,93.85,ATH,False,False
31-03-2026 11:00,DERHL,13.86,14.28,13.84,14.19,2512243.0,0.09,0.33,0.04,816.67,0.33,526836.4,376.85,0.27,True,62.01,-0.05,-0.08,0.03,2026-03-31,13.85,2.45,0,,13.75,14.35,True,True
31-03-2026 11:00,ISKPL,15.88,17.53,15.77,17.37,34331276.0,0.16,1.49,0.14,995.59,1.49,10600451.0,223.87,0.11,True,81.37,0.51,0.4,0.1,2026-03-31,16.06,8.16,0,,14.19,ATH,False,False
