Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,direnc,destek,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
22-09-2026 12:00,KONKA,7.72,7.93,7.71,7.89,619433.0,0.04,0.17,0.03,507.14,0.17,254356.3,143.53,0.24,True,48.62,-0.14,-0.17,0.03,2026-09-22,7.65,3.14,0,,9.4,ATL,True,False
22-09-2026 12:00,RTALB,2.11,2.18,2.1,2.16,6779429.0,0.02,0.05,0.0,2400.0,0.05,2843501.7,138.42,0.4,True,37.99,-0.08,-0.09,0.01,2026-09-22,2.16,0.0,0,,3.18,2.11,True,True
22-09-2026 12:00,SANFM,5.4,5.65,5.4,5.6,4391120.0,0.05,0.2,0.02,900.0,0.2,509489.3,761.87,0.25,True,30.08,-0.36,-0.37,0.01,2026-09-22,6.0,-6.67,0,,6.66,ATL,True,True
22-09-2026 12:00,GLRYH,1.96,2.11,1.96,2.09,4597022.0,0.02,0.13,0.02,441.67,0.13,2149700.5,113.84,0.15,True,49.86,-0.09,-0.12,0.03,2026-09-22,1.97,6.09,0,,3.05,1.97,True,False
22-09-2026 12:00,NUGYO,7.92,8.09,7.92,8.06,214113.0,0.03,0.14,0.01,2233.33,0.14,130176.8,64.48,0.21,True,52.26,-0.06,-0.1,0.04,2026-09-22,7.92,1.77,0,,8.45,7.51,False,False
22-09-2026 12:00,KZBGY,1.46,1.55,1.45,1.53,16811976.0,0.02,0.07,0.01,483.33,0.07,6231412.8,169.79,0.29,True,59.66,-0.02,-0.03,0.02,2026-09-22,1.42,7.75,0,,1.62,1.37,False,False
22-09-2026 12:00,BEGYO,2.75,3.0,2.75,3.0,8660538.0,0.0,0.25,0.03,681.25,0.25,1318557.0,556.82,0.0,True,70.62,-0.02,-0.05,0.03,2026-09-22,2.73,9.89,0,,ATH,2.63,False,False
22-09-2026 11:00,FROTO,78.95,80.95,78.9,80.7,5483461.0,0.25,1.75,0.37,372.97,1.75,2417864.7,126.79,0.14,True,74.21,0.7,0.28,0.42,2026-09-22,77.85,3.66,0,,83.75,75.0,False,False
22-09-2026 11:00,OYAKC,20.76,21.36,20.72,21.3,7330716.0,0.06,0.54,0.11,373.68,0.54,2200432.2,233.15,0.11,True,73.75,0.2,0.08,0.13,2026-09-22,20.36,4.62,0,,22.4,19.5,False,False
22-09-2026 11:00,AHGAZ,41.48,42.9,41.34,42.9,1734529.0,0.0,1.42,0.16,810.26,1.42,945604.4,83.43,0.0,True,67.85,0.43,0.39,0.04,2026-09-22,41.6,3.12,0,,ATH,40.0,False,False
22-09-2026 11:00,SERNT,5.92,5.99,5.8,5.99,1272386.0,0.0,0.07,0.0,1300.0,0.07,428883.5,196.67,0.0,True,36.69,-0.19,-0.25,0.06,2026-09-22,6.0,-0.17,0,,8.06,5.62,True,False
