Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
25-06-2026 15:00,FORTE,88.5,90.75,88.45,90.5,165039.0,0.25,2.0,0.18,1011.11,2.0,86510.5,90.77,0.12,True,58.28,-0.42,-0.65,0.23,2026-06-25,87.75,3.13,0,,89.8,94.95,True,False
25-06-2026 14:00,ZGYO,40.0,41.2,39.96,40.86,860481.0,0.34,0.86,0.06,1382.76,0.86,501827.2,71.47,0.4,True,55.57,0.07,0.11,-0.04,2026-06-25,40.36,1.24,0,,39.28,41.72,False,False
25-06-2026 13:00,RTALB,3.75,4.0,3.68,3.95,39725010.0,0.05,0.2,0.01,2122.22,0.2,11937223.8,232.78,0.25,True,72.24,0.09,0.06,0.03,2026-06-25,3.74,5.61,0,,3.38,ATH,False,False
25-06-2026 13:00,SNICA,4.27,4.54,4.26,4.53,62788169.0,0.01,0.26,0.04,584.21,0.26,7819562.2,702.96,0.04,True,77.48,0.03,-0.0,0.03,2026-06-25,4.13,9.69,0,,4.1,ATH,False,False
25-06-2026 13:00,SKYMD,13.9,14.7,13.9,14.59,3347880.0,0.11,0.69,0.05,1177.78,0.69,788112.2,324.8,0.16,True,69.22,0.1,0.11,-0.01,2026-06-25,13.91,4.89,0,,13.85,14.64,False,False
25-06-2026 13:00,MAKTK,12.32,12.7,12.3,12.69,1377817.0,0.01,0.37,0.02,1847.37,0.37,409933.8,236.11,0.03,True,62.26,-0.04,-0.07,0.03,2026-06-25,12.24,3.68,0,,12.24,12.72,True,False
25-06-2026 13:00,HATSN,61.0,64.1,60.25,63.6,2611824.0,0.5,2.6,0.26,900.0,2.6,636417.6,310.39,0.19,True,64.04,0.27,0.17,0.09,2026-06-25,60.4,5.3,0,,58.3,65.55,False,False
25-06-2026 13:00,EREGL,40.08,40.5,40.06,40.48,17213226.0,0.02,0.4,0.03,1328.57,0.4,10628401.2,61.95,0.05,True,62.1,0.06,0.01,0.05,2026-06-25,39.94,1.35,0,,39.72,40.74,False,False
25-06-2026 12:00,MACKO,35.96,36.36,35.92,36.3,135140.0,0.06,0.34,0.03,1033.33,0.34,59927.1,125.51,0.18,True,46.4,-0.28,-0.37,0.08,2026-06-25,35.94,1.0,0,,35.66,40.54,True,False
25-06-2026 11:00,SMRVA,15.54,16.1,15.4,15.98,5495180.0,0.12,0.44,0.02,2344.44,0.44,1994633.7,175.5,0.27,True,51.27,-0.17,-0.13,-0.03,2026-06-25,15.44,3.5,0,,14.1,18.12,False,False
25-06-2026 11:00,ELITE,36.28,37.5,36.22,37.2,528657.0,0.3,0.92,0.11,736.36,0.92,239572.6,120.67,0.33,True,65.57,0.03,-0.08,0.11,2026-06-25,35.58,4.55,0,,35.54,38.0,False,False
25-06-2026 11:00,SAFKR,24.66,25.32,24.66,25.22,1000675.0,0.1,0.56,0.01,3900.0,0.56,388109.3,157.83,0.18,True,55.56,0.01,0.03,-0.02,2026-06-25,24.68,2.19,0,,24.84,25.9,False,False
25-06-2026 11:00,GUBRF,475.25,485.5,474.5,483.0,520868.0,2.5,7.75,0.72,968.97,7.75,275976.2,88.74,0.32,True,52.18,-5.84,-7.27,1.42,2026-06-25,467.25,3.37,0,,464.0,514.0,True,False
25-06-2026 11:00,GARAN,142.2,144.1,141.8,143.6,5962097.0,0.5,1.4,0.27,418.52,1.4,2559159.9,132.97,0.36,True,66.36,-0.05,-0.48,0.43,2026-06-25,140.4,2.28,0,,138.9,145.1,False,False
25-06-2026 10:00,LILAK,36.02,36.64,36.02,36.62,505150.0,0.02,0.6,0.04,1478.95,0.6,264173.4,91.22,0.03,True,55.18,-0.08,-0.03,-0.04,2026-06-25,36.0,1.72,0,,35.12,37.86,False,False
25-06-2026 10:00,MARBL,13.42,13.73,13.42,13.69,595884.0,0.04,0.27,0.01,3757.14,0.27,265200.2,124.69,0.15,True,57.84,-0.02,-0.03,0.01,2026-06-25,13.32,2.78,0,,13.03,13.75,False,False
25-06-2026 10:00,A1CAP,11.72,12.3,11.5,12.17,17906032.0,0.13,0.45,0.07,571.64,0.45,6918555.1,158.81,0.29,True,85.5,0.31,0.25,0.06,2026-06-25,11.66,4.37,0,,9.9,ATH,False,False
25-06-2026 10:00,KRSTL,11.02,11.37,11.02,11.31,2702668.0,0.06,0.29,0.04,728.57,0.29,726399.4,272.06,0.21,True,76.81,0.04,0.01,0.04,2026-06-25,10.98,3.01,0,,10.81,11.43,False,False
25-06-2026 10:00,DURKN,19.71,20.38,19.71,20.32,712701.0,0.06,0.61,0.06,853.12,0.61,236391.1,201.49,0.1,True,62.19,-0.03,-0.06,0.03,2026-06-25,19.6,3.67,0,,19.52,20.74,False,False
25-06-2026 10:00,DZGYO,8.49,8.62,8.49,8.6,286494.0,0.02,0.11,0.01,1275.0,0.11,170029.9,68.5,0.18,True,62.6,-0.01,-0.02,0.01,2026-06-25,8.45,1.78,0,,8.39,8.69,False,False
25-06-2026 10:00,KTSKR,103.5,109.0,103.5,108.7,1054482.0,0.3,5.2,0.28,1757.14,5.2,443148.6,137.95,0.06,True,72.86,2.48,2.14,0.35,2026-06-25,103.3,5.23,0,,93.15,ATH,False,False
25-06-2026 10:00,PARSN,92.6,96.35,92.6,95.65,389764.0,0.7,3.05,0.11,2672.73,3.05,139961.3,178.48,0.23,True,58.9,0.45,0.57,-0.12,2026-06-25,92.75,3.13,0,,90.7,98.0,False,False
25-06-2026 10:00,KLKIM,30.78,31.08,30.76,31.02,263023.0,0.06,0.24,0.01,3900.0,0.24,126108.9,108.57,0.25,True,48.57,-0.16,-0.16,0.01,2026-06-25,30.7,1.04,0,,30.2,31.32,True,True
25-06-2026 10:00,KCHOL,195.0,197.3,194.1,196.8,7695305.0,0.5,1.8,0.31,480.65,1.8,1946234.1,295.39,0.28,True,63.14,-0.22,-0.82,0.6,2026-06-25,193.0,1.97,0,,190.9,199.2,False,False
25-06-2026 10:00,HDFGS,2.65,2.74,2.63,2.72,31381162.0,0.02,0.07,0.01,677.78,0.07,6407371.9,389.77,0.29,True,69.27,0.01,0.0,0.01,2026-06-25,2.63,3.42,0,,2.6,2.76,False,False
25-06-2026 10:00,DARDL,2.02,2.05,2.02,2.05,1862317.0,0.0,0.03,0.0,650.0,0.03,1137392.1,63.74,0.0,True,47.24,-0.01,-0.01,-0.0,2026-06-25,2.03,0.99,0,,2.04,2.1,False,False
25-06-2026 10:00,DGNMO,8.8,8.96,8.67,8.96,1671084.0,0.0,0.16,0.01,1500.0,0.16,583004.1,186.63,0.0,True,50.5,-0.09,-0.1,0.0,2026-06-25,8.75,2.4,0,,8.61,9.84,False,False
25-06-2026 10:00,FLAP,11.16,12.34,11.16,12.17,1539562.0,0.17,1.01,0.02,4291.3,1.01,399341.7,285.52,0.17,True,44.13,-0.17,-0.06,-0.11,2026-06-25,12.4,-1.85,0,,12.01,13.82,False,False
25-06-2026 10:00,ADESE,1.0,1.01,0.99,1.01,21802353.0,0.0,0.01,0.0,400.0,0.01,10226828.4,113.19,0.0,True,54.33,-0.0,-0.0,0.0,2026-06-25,1.0,1.0,0,,0.99,1.03,False,False
25-06-2026 10:00,AKFGY,2.78,2.83,2.78,2.82,7247605.0,0.01,0.04,0.0,900.0,0.04,2332106.5,210.78,0.25,True,52.38,-0.01,-0.01,-0.0,2026-06-25,2.77,1.81,0,,2.76,2.88,False,False
25-06-2026 10:00,RUZYE,10.1,10.2,10.09,10.18,806264.0,0.02,0.08,0.01,788.89,0.08,447120.9,80.32,0.25,True,49.69,-0.06,-0.07,0.01,2026-06-25,10.05,1.29,0,,10.0,10.57,True,True
25-06-2026 10:00,TUPRS,216.6,222.7,216.6,221.8,6096883.0,0.9,5.2,0.33,1475.76,5.2,1676055.9,263.76,0.17,True,57.39,-1.26,-1.57,0.31,2026-06-25,216.8,2.31,0,,216.1,227.6,True,True
25-06-2026 10:00,SMRTG,12.3,12.57,12.3,12.57,6413898.0,0.0,0.27,0.05,486.96,0.27,2743509.0,133.78,0.0,True,54.82,-0.08,-0.09,0.01,2026-06-25,12.22,2.86,0,,12.02,13.2,False,False
25-06-2026 10:00,AGROT,2.76,2.8,2.76,2.79,6787227.0,0.01,0.03,0.0,650.0,0.03,2752506.3,146.58,0.33,True,51.51,-0.01,-0.01,-0.0,2026-06-25,2.75,1.45,0,,2.74,2.86,False,False
25-06-2026 10:00,AEFES,20.7,21.02,20.68,21.0,6317446.0,0.02,0.3,0.05,525.0,0.3,2517109.5,150.98,0.07,True,61.4,-0.02,-0.09,0.06,2026-06-25,20.64,1.74,0,,20.14,21.66,False,False
24-06-2026 17:00,EMPAE,81.95,90.55,78.25,89.95,1036453.0,0.6,8.0,0.36,2122.22,8.0,570511.9,81.67,0.07,True,47.91,-2.98,-3.72,0.74,2026-06-24,85.95,4.65,2,78.25,78.25,93.75,True,True
24-06-2026 17:00,GOZDE,23.12,23.96,23.12,23.86,837335.0,0.1,0.74,0.03,2542.86,0.74,265972.9,214.82,0.14,True,60.55,0.04,0.09,-0.05,2026-06-24,23.46,1.71,0,,22.94,24.78,False,False
24-06-2026 17:00,ICUGS,5.4,5.69,5.39,5.66,24483508.0,0.03,0.26,0.03,900.0,0.26,4327540.3,465.76,0.12,True,69.32,0.06,0.05,0.02,2026-06-24,5.32,6.39,0,,4.86,5.69,False,False
24-06-2026 17:00,SANFM,9.08,9.56,8.97,9.45,7163254.0,0.11,0.37,0.0,12233.33,0.37,1198100.7,497.88,0.3,True,60.49,0.03,0.04,-0.01,2026-06-24,9.44,0.11,3,,8.7,9.52,False,False
24-06-2026 17:00,MANAS,28.0,29.74,27.64,29.74,9598459.0,0.0,1.74,0.11,1453.57,1.74,2574103.3,272.89,0.0,True,66.62,-0.1,-0.18,0.08,2026-06-24,28.38,4.79,3,,28.4,29.86,True,True
24-06-2026 17:00,DENGE,2.43,2.64,2.42,2.63,13576494.0,0.01,0.2,0.01,1566.67,0.2,2712887.7,400.44,0.05,True,69.14,0.0,-0.01,0.01,2026-06-24,2.5,5.2,0,,2.4,2.69,False,False
24-06-2026 16:00,SKBNK,16.55,17.0,16.51,16.89,6567079.0,0.11,0.34,0.03,930.3,0.34,2527441.2,159.83,0.32,True,70.4,0.24,0.26,-0.02,2026-06-24,16.47,2.55,0,,16.32,ATH,False,False
24-06-2026 16:00,AKSUE,36.7,38.08,36.62,37.7,519822.0,0.38,1.0,0.08,1119.51,1.0,262158.9,98.29,0.38,True,64.72,0.09,0.02,0.07,2026-06-24,37.0,1.89,0,,35.3,39.5,False,False
24-06-2026 16:00,DCTTR,11.99,12.22,11.91,12.22,1381426.0,0.0,0.23,0.01,1816.67,0.23,484482.2,185.13,0.0,True,63.09,0.06,0.07,-0.01,2026-06-24,12.15,0.58,2,11.91,11.91,12.34,False,False
24-06-2026 16:00,SMART,32.08,33.02,31.92,32.94,372206.0,0.08,0.86,0.02,3483.33,0.86,112384.1,231.19,0.09,True,54.09,-0.28,-0.28,0.01,2026-06-24,32.68,0.8,0,,32.9,34.16,True,True
24-06-2026 16:00,SAHOL,99.55,100.2,99.05,100.2,3495018.0,0.0,0.65,0.1,584.21,0.65,2015056.8,73.45,0.0,True,52.52,-0.42,-0.48,0.06,2026-06-24,99.15,1.06,0,,98.1,102.4,True,True
24-06-2026 16:00,MTRKS,29.98,31.64,29.96,31.5,840275.0,0.14,1.52,0.16,874.36,1.52,218965.0,283.75,0.09,True,65.26,0.18,0.09,0.09,2026-06-24,30.6,2.94,0,,29.0,ATH,False,False
24-06-2026 16:00,PAPIL,14.7,15.05,14.7,15.05,2445809.0,0.0,0.35,0.03,1106.9,0.35,667186.5,266.59,0.0,True,55.45,-0.12,-0.13,0.01,2026-06-24,14.86,1.28,0,,14.61,15.69,True,True
24-06-2026 16:00,DOHOL,20.64,20.92,20.62,20.92,2401999.0,0.0,0.28,0.0,13900.0,0.28,1057944.2,127.04,0.0,True,43.27,-0.21,-0.24,0.03,2026-06-24,20.88,0.19,0,,20.6,21.12,True,True
24-06-2026 15:00,MAKIM,18.94,20.04,18.56,19.92,4367296.0,0.12,0.98,0.08,1080.72,0.98,2310816.7,88.99,0.12,True,64.59,0.41,0.33,0.08,2026-06-24,19.21,3.7,2,18.56,18.56,20.26,False,False
24-06-2026 15:00,AKSGY,9.39,9.57,9.39,9.52,1384281.0,0.05,0.13,0.02,519.05,0.13,389401.2,255.49,0.38,True,64.95,0.01,-0.0,0.01,2026-06-24,9.36,1.71,0,,9.29,9.54,False,False
24-06-2026 15:00,KUYAS,70.35,71.75,70.25,71.65,1319856.0,0.1,1.3,0.02,8566.67,1.3,645182.0,104.57,0.08,True,53.35,-0.25,-0.19,-0.06,2026-06-24,72.0,-0.49,0,,69.6,74.55,False,False
24-06-2026 14:00,PRKME,18.32,18.6,18.26,18.6,467461.0,0.0,0.28,0.03,803.23,0.28,219026.5,113.43,0.0,True,55.71,-0.09,-0.15,0.06,2026-06-24,18.21,2.14,0,,18.06,20.82,True,False
24-06-2026 13:00,AHGAZ,35.76,37.22,35.7,36.98,1169273.0,0.24,1.22,0.07,1548.65,1.22,365191.1,220.18,0.2,True,68.19,0.24,0.23,0.01,2026-06-24,36.22,2.1,0,,35.66,ATH,False,False
24-06-2026 13:00,HOROZ,70.9,78.1,70.65,77.55,2944223.0,0.55,6.65,0.39,1605.13,6.65,985002.3,198.91,0.08,True,61.1,1.03,1.71,-0.68,2026-06-24,73.35,5.73,0,,69.0,81.0,False,False
24-06-2026 13:00,EGEGY,28.12,29.5,28.06,29.12,3913699.0,0.38,1.0,0.04,2677.78,1.0,554766.0,605.47,0.38,True,63.21,0.12,0.16,-0.04,2026-06-24,28.38,2.61,0,,27.88,29.42,False,False
24-06-2026 12:00,TSPOR,0.91,0.92,0.91,0.92,8340406.0,0.0,0.01,0.0,400.0,0.01,4823346.8,72.92,0.0,True,48.39,-0.0,-0.0,0.0,2026-06-24,0.91,1.1,3,,0.91,0.93,False,False
24-06-2026 12:00,GENIL,9.2,9.81,9.08,9.72,26999669.0,0.09,0.52,0.04,1305.41,0.52,6112782.4,341.69,0.17,True,61.97,-0.04,-0.06,0.02,2026-06-24,9.08,7.05,0,,8.81,9.78,False,False
24-06-2026 11:00,AKHAN,33.64,34.44,33.54,34.24,1352853.0,0.2,0.6,0.08,689.47,0.6,442258.4,205.9,0.33,True,66.39,0.12,-0.0,0.12,2026-06-24,33.7,1.6,1,34.44,32.78,34.44,False,False
24-06-2026 10:00,KGYO,12.16,12.25,12.05,12.25,2146980.0,0.0,0.09,0.0,2150.0,0.09,914605.4,134.74,0.0,True,53.47,0.02,0.02,-0.01,2026-06-24,12.12,1.07,0,,12.01,12.54,False,False
24-06-2026 10:00,LIDER,88.5,95.3,88.0,93.5,744318.0,1.8,5.0,0.08,6150.0,5.0,244766.3,204.09,0.36,True,44.75,-2.73,-2.7,-0.03,2026-06-24,88.55,5.59,2,88.0,88.0,113.8,True,True
24-06-2026 10:00,SEKUR,11.37,12.19,11.35,11.96,3877698.0,0.23,0.59,0.09,548.35,0.59,759363.1,410.65,0.39,True,78.37,0.46,0.37,0.09,2026-06-24,11.25,6.31,1,12.19,8.37,12.19,False,False
24-06-2026 10:00,MAGEN,35.16,36.3,35.02,36.16,5520791.0,0.14,1.0,0.07,1251.35,1.0,1999635.9,176.09,0.14,True,51.73,-0.28,-0.17,-0.1,2026-06-24,35.18,2.79,0,,34.9,38.84,False,False
24-06-2026 10:00,ZRGYO,17.36,17.76,17.36,17.71,1039999.0,0.05,0.35,0.04,775.0,0.35,581103.3,78.97,0.14,True,60.37,-0.05,-0.08,0.03,2026-06-24,17.46,1.43,0,,17.0,17.85,False,False
24-06-2026 10:00,ALARK,100.1,102.2,99.95,101.9,896857.0,0.3,1.8,0.07,2471.43,1.8,326452.6,174.73,0.17,True,54.23,-0.58,-0.6,0.01,2026-06-24,100.0,1.9,0,,99.45,104.4,True,True
24-06-2026 10:00,EGPRO,39.98,43.16,39.98,42.72,2006304.0,0.44,2.74,0.37,636.56,2.74,361570.5,454.89,0.16,True,75.89,0.43,0.22,0.21,2026-06-24,39.86,7.18,0,,38.7,ATH,False,False
23-06-2026 18:00,PASEU,125.1,126.0,125.0,126.0,660118.0,0.0,0.9,0.32,181.25,0.9,409709.9,61.12,0.0,True,81.31,2.27,2.14,0.13,2026-06-23,123.0,2.44,0,,109.9,ATH,False,False
23-06-2026 17:00,KZGYO,22.96,23.2,22.94,23.14,321521.0,0.06,0.18,0.02,718.18,0.18,108730.4,195.7,0.33,True,56.38,-0.03,-0.06,0.03,2026-06-23,22.82,1.4,0,,22.74,23.16,False,False
23-06-2026 17:00,SILVR,2.62,2.82,2.61,2.8,3078729.0,0.02,0.18,0.01,1284.62,0.18,383725.7,702.33,0.11,True,73.73,0.01,0.01,0.01,2026-06-23,2.64,6.06,2,2.61,2.61,ATH,False,False
23-06-2026 17:00,KLSYN,13.6,14.34,13.06,14.34,1992824.0,0.0,0.74,0.09,750.57,0.74,430075.3,363.37,0.0,True,68.35,-0.02,-0.13,0.11,2026-06-23,13.45,6.62,3,,13.02,15.54,False,False
23-06-2026 17:00,ECOGR,41.3,43.16,41.24,43.12,5419929.0,0.04,1.82,0.18,934.09,1.82,1017989.9,432.41,0.02,True,77.19,0.73,0.68,0.05,2026-06-23,41.38,4.2,0,,39.26,ATH,False,False
23-06-2026 17:00,HEDEF,129.9,134.3,129.4,133.8,768447.0,0.5,3.9,0.32,1118.75,3.9,142224.8,440.3,0.13,True,78.98,1.07,1.11,-0.04,2026-06-23,130.2,2.76,0,,128.5,ATH,False,False
