Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
10-07-2026 16:00,BIOEN,16.99,17.98,16.93,17.97,2049673.0,0.01,0.98,0.1,910.31,0.98,876812.9,133.76,0.01,True,67.26,0.01,-0.14,0.15,2026-07-10,17.01,5.64,0,,16.17,18.89,False,False
10-07-2026 16:00,FADE,15.65,15.87,15.61,15.84,253038.0,0.03,0.19,0.04,322.22,0.19,136527.3,85.34,0.16,True,64.04,0.11,0.04,0.07,2026-07-10,15.38,2.99,0,,14.7,15.97,False,False
10-07-2026 16:00,TATGD,18.12,18.34,18.11,18.3,172980.0,0.04,0.18,0.06,221.43,0.18,109148.7,58.48,0.22,True,55.39,-0.1,-0.17,0.07,2026-07-10,17.9,2.23,0,,17.69,20.04,True,False
10-07-2026 16:00,CATES,43.88,46.12,43.88,46.12,2688608.0,0.0,2.24,0.51,335.8,2.24,714535.4,276.27,0.0,True,84.98,1.08,0.68,0.41,2026-07-10,41.94,9.97,0,,39.66,ATH,False,False
10-07-2026 16:00,MARMR,2.19,2.24,2.19,2.23,8698281.0,0.01,0.04,0.0,1900.0,0.04,5691457.9,52.83,0.25,True,48.49,-0.03,-0.03,0.01,2026-07-10,2.18,2.29,0,,2.17,2.33,True,False
10-07-2026 16:00,SOKE,16.47,16.85,16.46,16.79,368390.0,0.06,0.32,0.06,424.59,0.32,243815.2,51.09,0.19,True,63.03,0.08,0.06,0.01,2026-07-10,16.45,2.07,0,,16.16,ATH,False,False
10-07-2026 16:00,SKYMD,15.02,15.38,15.02,15.29,655234.0,0.09,0.27,0.06,321.88,0.27,269033.2,143.55,0.33,True,68.88,0.06,-0.01,0.07,2026-07-10,14.7,4.01,0,,14.4,15.51,False,False
10-07-2026 16:00,FZLGY,12.86,13.48,12.83,13.48,9169835.0,0.0,0.62,0.02,2852.38,0.62,2080720.9,340.7,0.0,True,58.88,-0.11,-0.15,0.04,2026-07-10,13.0,3.69,0,,13.05,15.32,True,True
10-07-2026 16:00,BOBET,18.95,19.08,18.95,19.06,371996.0,0.02,0.11,0.02,378.26,0.11,214579.1,73.36,0.18,True,54.24,-0.03,-0.06,0.03,2026-07-10,18.83,1.22,0,,18.77,19.13,True,False
10-07-2026 16:00,EUYO,4.95,5.01,4.95,5.01,217210.0,0.0,0.06,0.0,1900.0,0.06,82394.3,163.62,0.0,True,41.63,-0.07,-0.09,0.02,2026-07-10,4.97,0.8,0,,4.9,5.8,True,False
10-07-2026 16:00,EMKEL,19.14,19.71,19.13,19.56,1328013.0,0.15,0.42,0.03,1400.0,0.42,467903.0,183.82,0.36,True,56.36,-0.07,-0.08,0.01,2026-07-10,19.21,1.82,0,,19.1,20.64,False,False
10-07-2026 16:00,SUNTK,30.88,32.6,30.84,32.28,2934963.0,0.32,1.4,0.27,418.52,1.4,480991.3,510.19,0.23,True,79.67,0.61,0.46,0.15,2026-07-10,29.64,8.91,0,,29.16,ATH,False,False
10-07-2026 16:00,CEMAS,4.22,4.27,4.2,4.26,1275759.0,0.01,0.04,0.0,3900.0,0.04,792289.1,61.02,0.25,True,56.1,-0.01,-0.02,0.01,2026-07-10,4.19,1.67,0,,4.16,4.54,True,False
10-07-2026 16:00,OZGYO,2.07,2.16,2.07,2.16,4047891.0,0.0,0.09,0.01,900.0,0.09,993626.2,307.39,0.0,True,64.99,-0.01,-0.02,0.01,2026-07-10,2.06,4.85,0,,2.03,2.29,False,False
10-07-2026 16:00,DZGYO,8.22,8.29,8.21,8.29,350666.0,0.0,0.07,0.01,536.36,0.07,127687.5,174.63,0.0,True,55.57,-0.02,-0.05,0.03,2026-07-10,8.16,1.59,0,,8.05,8.94,False,False
10-07-2026 15:00,TUPRS,266.5,269.5,266.25,269.0,4087311.0,0.5,2.5,0.6,316.67,2.5,2680196.8,52.5,0.2,True,75.42,2.94,2.84,0.1,2026-07-10,264.25,1.8,0,,217.3,ATH,False,False
10-07-2026 15:00,ARFYE,30.3,30.88,30.3,30.86,683121.0,0.02,0.56,0.04,1233.33,0.56,425887.4,60.4,0.04,True,57.38,-0.07,-0.17,0.1,2026-07-10,30.02,2.8,0,,28.92,32.62,False,False
10-07-2026 15:00,ARCLK,97.7,100.0,97.5,99.55,521059.0,0.45,1.85,0.35,428.57,1.85,170910.2,204.87,0.24,True,67.45,-0.01,-0.36,0.35,2026-07-10,96.5,3.16,0,,96.0,102.7,False,False
10-07-2026 15:00,BSOKE,35.28,37.0,35.2,36.86,1110907.0,0.14,1.58,0.3,419.74,1.58,575722.8,92.96,0.09,True,67.64,0.11,-0.24,0.35,2026-07-10,34.32,7.4,0,,33.0,36.88,False,False
10-07-2026 15:00,MERCN,23.56,24.54,23.54,24.46,865430.0,0.08,0.9,0.07,1116.22,0.9,300993.7,187.52,0.09,True,63.33,-0.05,-0.13,0.08,2026-07-10,23.52,4.0,0,,23.12,25.68,False,False
10-07-2026 15:00,BTCIM,5.39,5.55,5.37,5.52,10212079.0,0.03,0.13,0.02,712.5,0.13,4152298.8,145.94,0.23,True,56.8,-0.05,-0.08,0.03,2026-07-10,5.34,3.37,0,,5.28,6.17,True,False
10-07-2026 15:00,PENTA,13.3,13.44,13.3,13.41,252523.0,0.03,0.11,0.02,450.0,0.11,122431.2,106.26,0.27,True,61.02,-0.01,-0.04,0.04,2026-07-10,13.15,1.98,0,,13.06,13.65,False,False
10-07-2026 15:00,SAMAT,6.12,6.2,6.1,6.2,192179.0,0.0,0.08,0.03,196.3,0.08,114271.8,68.18,0.0,True,48.05,-0.06,-0.08,0.02,2026-07-10,6.15,0.81,0,,6.01,7.0,True,False
10-07-2026 14:00,PRZMA,68.85,74.75,68.0,73.5,498567.0,1.25,4.65,0.78,496.15,4.65,187309.7,166.17,0.27,True,61.9,-0.52,-0.98,0.46,2026-07-10,68.0,8.09,0,,69.2,78.05,False,False
10-07-2026 14:00,AKCNS,231.4,233.7,231.4,233.5,51477.0,0.2,2.1,0.22,854.55,2.1,32867.8,56.62,0.1,True,50.79,-0.45,-0.41,-0.04,2026-07-10,231.5,0.86,0,,228.3,237.0,False,False
10-07-2026 14:00,KRDMA,38.3,38.94,38.28,38.84,3178319.0,0.1,0.54,0.1,419.23,0.54,821322.6,286.98,0.19,True,58.1,-0.04,-0.17,0.13,2026-07-10,38.24,1.57,0,,37.42,40.0,False,False
10-07-2026 14:00,GZNMI,55.65,56.9,55.65,56.75,270316.0,0.15,1.1,0.08,1194.12,1.1,86610.4,212.11,0.14,True,50.93,-0.72,-1.09,0.37,2026-07-10,55.6,2.07,0,,ATL,66.0,False,False
10-07-2026 14:00,DGNMO,8.0,8.3,7.98,8.22,975209.0,0.08,0.22,0.03,780.0,0.22,467632.7,108.54,0.36,True,57.37,-0.03,-0.06,0.03,2026-07-10,8.05,2.11,0,,7.81,8.5,False,False
10-07-2026 14:00,EUPWR,86.8,89.8,86.75,89.7,2651964.0,0.1,2.9,0.3,866.67,2.9,1302248.0,103.65,0.03,True,61.31,0.32,0.2,0.13,2026-07-10,86.15,4.12,0,,86.15,90.4,False,False
10-07-2026 14:00,EGPRO,36.28,36.84,36.18,36.72,111190.0,0.12,0.44,0.06,685.71,0.44,60612.5,83.44,0.27,True,52.18,-0.21,-0.31,0.1,2026-07-10,35.92,2.23,0,,35.92,39.44,True,False
10-07-2026 14:00,ASTOR,308.25,322.5,308.25,322.0,8049109.0,0.5,13.75,1.27,978.43,13.75,3359678.6,139.58,0.04,True,58.48,-0.98,-2.03,1.06,2026-07-10,304.75,5.66,0,,314.0,336.5,True,False
10-07-2026 14:00,SNGYO,3.71,3.79,3.69,3.78,4575875.0,0.01,0.07,0.01,600.0,0.07,1673878.6,173.37,0.14,True,58.47,-0.01,-0.02,0.01,2026-07-10,3.67,3.0,0,,3.66,3.82,False,False
10-07-2026 14:00,GLRMK,157.7,160.7,157.6,160.7,588527.0,0.0,3.0,0.31,867.74,3.0,304182.2,93.48,0.0,True,53.09,-1.51,-1.92,0.41,2026-07-10,156.5,2.68,0,,156.3,168.0,True,False
10-07-2026 14:00,ENTRA,4.61,4.71,4.61,4.71,4207670.0,0.0,0.1,0.02,455.56,0.1,1489391.4,182.51,0.0,True,64.57,0.01,-0.01,0.01,2026-07-10,4.53,3.97,0,,4.53,4.74,False,False
10-07-2026 14:00,EKSUN,6.34,6.8,6.34,6.7,3637811.0,0.1,0.36,0.04,928.57,0.36,899074.7,304.62,0.28,True,63.55,-0.02,-0.05,0.03,2026-07-10,6.4,4.69,0,,6.54,6.73,False,False
10-07-2026 13:00,IHGZT,1.31,1.32,1.3,1.32,4038695.0,0.0,0.01,0.0,150.0,0.01,1550720.1,160.44,0.0,True,51.91,-0.0,-0.0,0.0,2026-07-10,1.3,1.54,0,,1.29,1.33,False,False
10-07-2026 12:00,SISE,42.94,43.78,42.9,43.7,13408741.0,0.08,0.76,0.1,691.67,0.76,5450959.1,145.99,0.11,True,66.15,-0.02,-0.21,0.19,2026-07-10,42.22,3.51,0,,41.88,44.76,False,False
10-07-2026 12:00,INVEO,8.36,8.6,8.27,8.57,2166225.0,0.03,0.21,0.02,854.55,0.21,949390.5,128.17,0.14,True,52.44,-0.09,-0.1,0.02,2026-07-10,8.39,2.15,0,,8.16,9.26,True,False
10-07-2026 12:00,IHYAY,1.39,1.4,1.38,1.4,286658.0,0.0,0.01,0.0,233.33,0.01,114202.0,151.01,0.0,True,52.02,-0.01,-0.01,0.0,2026-07-10,1.38,1.45,0,,1.37,1.42,True,False
10-07-2026 12:00,DURKN,20.52,21.0,20.4,21.0,447217.0,0.0,0.48,0.07,585.71,0.48,288643.5,54.94,0.0,True,52.68,-0.23,-0.3,0.07,2026-07-10,20.4,2.94,0,,19.91,23.7,True,False
10-07-2026 12:00,ALFAS,45.06,45.8,45.02,45.6,435193.0,0.2,0.54,0.09,527.91,0.54,249127.0,74.69,0.37,True,55.29,-0.19,-0.33,0.14,2026-07-10,45.1,1.11,0,,44.3,47.1,True,False
10-07-2026 12:00,NETCD,142.5,151.0,142.3,150.9,1530378.0,0.1,8.4,0.68,1135.29,8.4,683224.4,123.99,0.01,True,58.3,-1.95,-2.41,0.46,2026-07-10,140.9,7.1,0,,145.8,160.8,True,True
10-07-2026 12:00,IHEVA,2.03,2.07,2.02,2.06,340844.0,0.01,0.03,0.0,1400.0,0.03,121709.9,180.05,0.33,True,53.61,-0.01,-0.01,0.0,2026-07-10,2.02,1.98,0,,1.94,2.11,False,False
10-07-2026 12:00,VAKFN,1.55,1.57,1.53,1.57,11140520.0,0.0,0.02,0.0,1900.0,0.02,4984418.4,123.51,0.0,True,55.55,-0.01,-0.02,0.0,2026-07-10,1.53,2.61,0,,1.52,1.62,True,False
10-07-2026 12:00,HOROZ,63.4,67.1,63.15,66.1,938244.0,1.0,2.7,0.18,1442.86,2.7,205693.7,356.14,0.37,True,62.53,-0.16,-0.34,0.18,2026-07-10,63.45,4.18,0,,62.05,68.5,False,False
10-07-2026 12:00,MCARD,142.5,146.7,142.0,146.5,610568.0,0.2,4.0,0.4,900.0,4.0,212358.3,187.52,0.05,True,49.51,-2.27,-2.7,0.43,2026-07-10,143.0,2.45,0,,141.0,162.5,True,True
10-07-2026 12:00,ANSGR,27.76,28.38,27.72,28.3,928498.0,0.08,0.54,0.11,390.91,0.54,322458.4,187.94,0.15,True,77.12,0.2,0.1,0.1,2026-07-10,27.36,3.44,0,,27.02,ATH,False,False
10-07-2026 11:00,TUCLK,3.96,4.03,3.96,4.02,1361120.0,0.01,0.06,0.01,650.0,0.06,463771.9,193.49,0.17,True,59.33,-0.02,-0.03,0.01,2026-07-10,3.93,2.29,0,,3.91,4.22,True,False
10-07-2026 11:00,KOCMT,4.23,4.46,4.09,4.45,24070314.0,0.01,0.22,0.01,1366.67,0.22,13481774.2,78.54,0.05,True,52.55,-0.12,-0.12,0.01,2026-07-10,4.15,7.23,0,,3.61,4.89,True,True
10-07-2026 11:00,BIGEN,93.75,97.4,93.15,97.4,510190.0,0.0,3.65,0.24,1420.83,3.65,334350.1,52.59,0.0,True,73.32,1.98,1.01,0.97,2026-07-10,92.0,5.87,0,,85.0,ATH,False,False
