Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,direnc,destek,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
24-08-2026 06:00,EGGUB,105.0,114.9,104.2,114.5,5165928.0,0.4,9.5,0.08,11775.0,9.5,2822721.8,83.01,0.04,True,57.77,-0.91,-1.1,0.19,2026-08-24,10.41,0,,142.3,81.7,False,False
24-08-2026 06:00,AHGAZ,32.94,38.22,32.64,38.0,39110070.0,0.22,5.06,0.2,2404.95,5.06,25023224.7,56.3,0.04,True,65.52,2.26,2.22,0.04,2026-08-24,13.91,0,,40.36,20.86,False,False
24-08-2026 06:00,BAHKM,125.6,173.0,124.4,159.5,12538956.0,13.5,33.9,3.84,782.81,33.9,3528102.4,255.4,0.4,True,67.17,7.84,6.67,1.17,2026-08-24,27.19,0,,ATH,101.1,False,False
24-08-2026 06:00,TNZTP,29.02,32.48,28.42,32.0,23458601.0,0.48,2.98,0.43,589.81,2.98,15266946.5,53.66,0.16,True,66.86,1.36,0.72,0.65,2026-08-24,10.34,0,,33.43,20.3,False,False
24-08-2026 06:00,KRGYO,2.78,3.29,2.77,3.2,182637786.0,0.09,0.42,0.04,876.74,0.42,87465582.1,108.81,0.21,True,63.14,-0.04,-0.1,0.06,2026-08-24,15.11,0,,3.36,2.82,False,False
24-08-2026 06:00,HATSN,65.95,87.3,63.0,87.3,76042260.0,0.0,21.35,2.55,738.9,21.35,26921462.7,182.46,0.0,True,72.46,6.04,4.27,1.77,2026-08-24,38.57,0,,ATH,34.4,False,False
24-08-2026 06:00,RYSAS,23.34,27.52,22.2,27.02,105620454.0,0.5,3.68,0.07,5311.76,3.68,46387107.0,127.69,0.14,True,62.33,1.49,1.29,0.2,2026-08-24,16.47,0,,28.34,16.47,False,False
24-08-2026 06:00,BRLSM,17.96,26.56,17.56,25.2,114796453.0,1.36,7.24,0.5,1345.11,7.24,38930249.5,194.88,0.19,True,70.35,0.81,0.57,0.24,2026-08-24,45.16,0,,25.48,13.91,False,False
17-08-2026 06:00,ARASE,114.8,126.3,113.2,124.2,3146325.0,2.1,9.4,0.71,1223.94,9.4,1704124.0,84.63,0.22,True,65.96,8.62,9.92,-1.31,2026-08-17,8.38,0,,129.7,49.8,False,False
17-08-2026 06:00,TRENJ,95.4,109.6,92.4,107.8,17827648.0,1.8,12.4,1.8,590.81,12.4,10227222.3,74.32,0.15,True,57.89,2.32,1.12,1.19,2026-08-17,13.53,0,,122.8,79.95,False,False
17-08-2026 06:00,CEMZY,13.3,17.39,13.22,16.98,812784524.0,0.41,3.68,0.28,1214.29,3.68,168059918.5,383.63,0.11,True,67.67,1.02,1.08,-0.07,2026-08-17,27.67,0,,17.5,8.08,False,False
17-08-2026 06:00,EGEGY,28.7,32.5,28.28,31.6,24165604.0,0.9,2.9,0.4,617.82,2.9,15873353.0,52.24,0.31,True,56.33,0.44,0.52,-0.08,2026-08-17,10.1,0,,35.48,25.6,False,False
17-08-2026 06:00,TRHOL,2256.0,2610.0,2120.0,2560.0,2820445.0,50.0,304.0,99.3,206.14,304.0,1239926.1,127.47,0.16,True,85.21,335.42,272.94,62.48,2026-08-17,13.53,0,,ATH,14.3,False,False
17-08-2026 06:00,CATES,52.35,62.95,51.4,62.0,23326696.0,0.95,9.65,2.24,331.57,9.65,14401570.3,61.97,0.1,True,76.87,3.63,2.04,1.59,2026-08-17,19.35,0,,ATH,35.68,False,False
17-08-2026 06:00,ARDYZ,89.5,97.0,85.05,96.0,41733272.0,1.0,6.5,2.66,144.82,6.5,23775039.6,75.53,0.15,True,85.27,10.78,8.01,2.77,2026-08-17,15.25,0,,ATH,24.42,False,False
17-08-2026 06:00,ARSAN,3.47,3.96,3.45,3.88,213540553.0,0.08,0.41,0.02,1608.33,0.41,105494281.4,102.42,0.2,True,56.84,-0.0,-0.02,0.02,2026-08-17,11.82,0,,4.4,2.56,False,False
17-08-2026 06:00,KUVVA,158.5,196.3,156.5,191.0,2042238.0,5.3,32.5,3.8,755.26,32.5,1118855.2,82.53,0.16,True,69.71,9.37,6.12,3.25,2026-08-17,20.5,0,,ATH,95.2,False,False
17-08-2026 06:00,GSRAY,1.02,1.14,1.01,1.12,2113781097.0,0.02,0.1,0.0,3233.33,0.1,902503569.3,134.21,0.2,True,52.6,-0.04,-0.05,0.01,2026-08-17,9.8,0,,1.23,1.01,True,True
17-08-2026 06:00,TBORG,137.3,158.8,133.0,154.8,3386350.0,4.0,17.5,1.64,967.07,17.5,1016999.7,232.97,0.23,True,59.96,-4.8,-7.23,2.43,2026-08-17,12.75,0,,183.0,152.3,True,False
17-08-2026 06:00,KRPLS,9.76,11.32,9.72,10.96,25142892.0,0.36,1.2,0.05,2348.98,1.2,14972087.0,67.93,0.3,True,66.2,0.32,0.22,0.1,2026-08-17,13.22,0,,11.09,7.2,False,False
17-08-2026 06:00,ADGYO,54.8,65.2,54.6,63.85,7251760.0,1.35,9.05,1.01,796.93,9.05,3937882.8,84.15,0.15,True,61.77,0.37,0.14,0.23,2026-08-17,16.51,0,,65.1,49.3,False,False
17-08-2026 06:00,NETAS,68.3,99.9,68.3,99.15,15812518.0,0.75,30.85,2.28,1253.07,30.85,4253837.8,271.72,0.02,True,75.39,2.94,0.92,2.02,2026-08-17,59.66,0,,ATH,52.45,False,False
17-08-2026 06:00,ALTNY,15.95,19.64,15.49,19.21,238226186.0,0.43,3.26,0.15,2073.33,3.26,127251686.8,87.21,0.13,True,60.86,0.21,0.03,0.18,2026-08-17,14.55,0,,20.96,14.21,False,False
