Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,direnc,destek,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
08-09-2026 12:00,ALKIM,16.24,16.5,16.23,16.48,657814.0,0.02,0.24,0.09,166.67,0.24,361047.7,82.2,0.08,True,85.87,0.23,0.14,0.09,2026-09-08,15.67,5.17,0,,ATH,15.15,False,False
08-09-2026 12:00,PGSUS,149.7,151.6,149.7,151.5,2203213.0,0.1,1.8,0.27,566.67,1.8,1087450.5,102.6,0.06,True,71.21,0.39,0.17,0.22,2026-09-08,149.4,1.41,0,,154.7,146.8,False,False
08-09-2026 12:00,TERA,195.1,196.8,195.0,196.5,1094619.0,0.3,1.4,0.12,1066.67,1.4,726021.0,50.77,0.21,True,73.15,0.63,0.67,-0.04,2026-09-08,195.0,0.77,0,,ATH,185.7,False,False
08-09-2026 12:00,GOKNR,17.64,18.28,17.62,18.11,1679982.0,0.17,0.47,0.12,305.17,0.47,624555.1,168.99,0.36,True,82.31,0.18,0.05,0.13,2026-09-08,16.97,6.72,0,,18.16,16.5,False,False
08-09-2026 12:00,EREGL,38.18,38.76,38.12,38.74,20384866.0,0.02,0.56,0.02,3011.11,0.56,11320091.9,80.08,0.04,True,65.41,0.28,0.24,0.04,2026-09-08,38.32,1.1,0,,40.1,36.32,False,False
08-09-2026 12:00,HKTM,12.86,13.28,12.85,13.16,1995848.0,0.12,0.3,0.04,650.0,0.3,758669.7,163.07,0.4,True,61.53,-0.05,-0.09,0.04,2026-09-08,12.76,3.13,0,,13.25,12.75,True,False
08-09-2026 12:00,ARCLK,93.15,93.9,92.95,93.7,193771.0,0.2,0.55,0.03,1733.33,0.55,114887.0,68.66,0.36,True,69.57,0.71,0.71,0.0,2026-09-08,93.4,0.32,0,,94.5,88.8,False,False
08-09-2026 12:00,SKBNK,6.34,6.57,6.32,6.56,45755794.0,0.01,0.22,0.03,587.5,0.22,19093294.4,139.64,0.05,True,71.69,0.03,0.0,0.03,2026-09-08,6.25,4.96,0,,6.89,6.19,False,False
08-09-2026 12:00,ISMEN,34.06,34.44,34.06,34.42,1261511.0,0.02,0.36,0.07,429.41,0.36,664353.0,89.89,0.06,True,57.0,-0.04,-0.06,0.02,2026-09-08,33.84,1.71,0,,35.42,33.64,False,False
08-09-2026 12:00,SARKY,25.3,25.96,25.16,25.86,2389643.0,0.1,0.56,0.09,551.16,0.56,1139453.2,109.72,0.18,True,79.33,0.39,0.22,0.18,2026-09-08,24.16,7.04,0,,27.34,23.26,False,False
08-09-2026 12:00,MARMR,2.19,2.21,2.19,2.21,7602816.0,0.0,0.02,0.0,400.0,0.02,4178364.2,81.96,0.0,True,60.16,0.0,-0.0,0.0,2026-09-08,2.19,0.91,0,,2.31,2.16,False,False
08-09-2026 12:00,OZKGY,13.0,13.28,12.99,13.27,881512.0,0.01,0.27,0.01,2900.0,0.27,285831.5,208.4,0.04,True,56.09,-0.05,-0.05,0.0,2026-09-08,13.16,0.84,0,,13.29,13.12,True,True
08-09-2026 12:00,BMSTL,43.14,43.9,43.08,43.9,256282.0,0.0,0.76,0.05,1420.0,0.76,146441.7,75.01,0.0,True,63.18,-0.04,-0.1,0.06,2026-09-08,43.32,1.34,0,,44.06,42.9,False,False
08-09-2026 11:00,SNICA,3.15,3.19,3.14,3.19,1804881.0,0.0,0.04,0.01,700.0,0.04,1095382.7,64.77,0.0,True,68.6,0.01,0.0,0.01,2026-09-08,3.13,1.92,0,,3.75,3.04,False,False
08-09-2026 11:00,AZTEK,3.71,3.76,3.71,3.75,690779.0,0.01,0.04,0.01,300.0,0.04,444357.7,55.46,0.25,True,66.58,0.01,-0.0,0.01,2026-09-08,3.69,1.63,0,,3.79,3.63,False,False
08-09-2026 11:00,OZSUB,40.08,41.22,39.62,41.06,522977.0,0.16,0.98,0.24,304.96,0.98,214850.9,143.41,0.16,True,60.01,-0.26,-0.62,0.36,2026-09-08,38.6,6.37,0,,43.0,36.96,False,False
08-09-2026 11:00,PAHOL,1.3,1.31,1.29,1.31,24771515.0,0.0,0.01,0.0,233.33,0.01,15995732.5,54.86,0.0,True,51.54,0.0,-0.0,0.0,2026-09-08,1.31,0.0,0,,1.32,1.28,False,False
08-09-2026 11:00,TATGD,17.68,17.99,17.68,17.98,626873.0,0.01,0.3,0.05,466.04,0.3,241622.3,159.44,0.03,True,67.85,0.12,0.09,0.03,2026-09-08,17.72,1.47,0,,18.02,16.99,False,False
08-09-2026 11:00,INDES,11.81,11.9,11.8,11.89,743523.0,0.01,0.08,0.01,1042.86,0.08,332991.0,123.29,0.12,True,62.93,0.07,0.07,-0.0,2026-09-08,11.84,0.42,0,,11.96,11.28,False,False
08-09-2026 11:00,IHAAS,49.72,50.5,49.72,50.3,129039.0,0.2,0.58,0.02,3525.0,0.58,54621.6,136.24,0.34,True,46.97,-0.24,-0.24,0.0,2026-09-08,50.3,0.0,0,,50.95,49.52,False,False
08-09-2026 11:00,AAGYO,11.87,11.92,11.84,11.91,1295555.0,0.01,0.04,0.01,471.43,0.04,720476.3,79.82,0.25,True,57.12,-0.02,-0.05,0.03,2026-09-08,11.79,1.02,0,,12.08,11.55,False,False
08-09-2026 11:00,CCOLA,79.65,80.65,79.6,80.5,1001453.0,0.15,0.85,0.14,507.14,0.85,489889.7,104.42,0.18,True,69.75,0.4,0.34,0.06,2026-09-08,79.45,1.32,0,,ATH,77.85,False,False
