Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
22-06-2026 17:00,MCARD,175.8,182.1,175.8,181.9,381524.0,0.2,6.1,0.17,3488.24,6.1,165257.7,130.87,0.03,True,61.03,-0.31,-0.79,0.48,2026-06-22,177.4,2.54,0,,173.2,193.1,False,False
22-06-2026 17:00,HRKET,112.4,120.9,112.2,118.9,741068.0,2.0,6.5,0.75,766.67,6.5,275052.2,169.43,0.31,True,69.69,0.61,0.2,0.4,2026-06-22,112.0,6.16,0,,108.4,119.4,False,False
22-06-2026 16:00,CEOEM,26.14,27.14,26.06,27.14,1286055.0,0.0,1.0,0.11,809.09,1.0,242611.6,430.09,0.0,True,72.56,0.04,-0.03,0.07,2026-06-22,26.06,4.14,0,,25.5,ATH,False,False
22-06-2026 16:00,LXGYO,16.82,17.28,16.78,17.19,4508466.0,0.09,0.37,0.04,802.44,0.37,1493423.6,201.89,0.24,True,61.34,-0.07,-0.13,0.05,2026-06-22,16.67,3.12,0,,16.65,17.37,True,False
22-06-2026 16:00,ECOGR,40.76,42.5,40.56,42.26,11686809.0,0.24,1.5,0.33,351.81,1.5,1862922.7,527.34,0.16,True,87.36,0.69,0.47,0.22,2026-06-22,39.4,7.26,0,,37.12,ATH,False,False
22-06-2026 15:00,EKOS,7.27,7.79,7.27,7.68,14002598.0,0.11,0.41,0.04,853.49,0.41,3011536.2,364.97,0.27,True,70.55,0.02,-0.01,0.04,2026-06-22,7.25,5.93,0,,7.1,7.93,False,False
22-06-2026 15:00,ONRYT,63.85,66.3,63.8,66.3,343811.0,0.0,2.45,0.34,620.59,2.45,134776.2,155.1,0.0,True,69.98,0.03,-0.29,0.32,2026-06-22,62.8,5.57,0,,62.3,67.3,False,False
22-06-2026 15:00,OZKGY,14.84,15.07,14.82,15.01,650648.0,0.06,0.17,0.02,794.74,0.17,269621.6,141.32,0.35,True,58.33,-0.05,-0.06,0.01,2026-06-22,14.72,1.97,0,,13.92,15.35,True,True
22-06-2026 15:00,SOKE,16.71,17.99,16.71,17.95,3976687.0,0.04,1.24,0.12,933.33,1.24,631300.1,529.92,0.03,True,77.75,0.2,0.13,0.07,2026-06-22,16.7,7.49,0,,15.91,ATH,False,False
22-06-2026 15:00,ULUUN,8.87,9.0,8.85,8.99,2726997.0,0.01,0.12,0.03,361.54,0.12,707393.0,285.5,0.08,True,72.26,0.08,0.07,0.01,2026-06-22,8.75,2.74,0,,8.4,ATH,False,False
22-06-2026 15:00,VSNMD,88.7,95.6,88.6,94.75,1699891.0,0.85,6.05,0.3,1916.67,6.05,345889.4,391.46,0.14,True,69.31,0.96,0.85,0.11,2026-06-22,90.8,4.35,0,,83.45,95.5,False,False
22-06-2026 14:00,SKBNK,15.68,16.08,15.62,16.0,7071188.0,0.08,0.32,0.06,416.13,0.32,3725990.7,89.78,0.25,True,75.6,0.26,0.24,0.02,2026-06-22,15.6,2.56,0,,15.12,ATH,False,False
