Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
21-01-2026 17:00,PGSUS,199.0,200.3,198.5,200.2,4093767.0,0.1,1.2,0.07,1614.29,1.2,2059008.2,98.82,0.08,True,49.37,-0.78,-0.68,-0.1,2026-01-21,199.5,0.35,0,,195.7,205.7,False,False
21-01-2026 17:00,ISKPL,11.1,11.69,11.08,11.62,6624069.0,0.07,0.52,0.04,1109.3,0.52,1633038.5,305.63,0.13,True,70.44,-0.0,-0.03,0.03,2026-01-21,11.18,3.94,0,,10.94,11.74,False,False
21-01-2026 17:00,ANELE,16.41,17.15,16.39,17.07,1299382.0,0.08,0.66,0.05,1169.23,0.66,245399.2,429.5,0.12,True,64.89,-0.11,-0.15,0.04,2026-01-21,16.62,2.71,0,,17.0,17.4,True,True
21-01-2026 17:00,SOKM,58.85,59.65,58.65,59.55,2456717.0,0.1,0.7,0.25,180.0,0.7,856624.6,186.79,0.14,True,73.52,0.47,0.28,0.19,2026-01-21,57.25,4.02,0,,56.2,ATH,False,False
21-01-2026 17:00,ANHYT,106.8,108.5,106.7,108.4,656776.0,0.1,1.6,0.26,515.38,1.6,141303.5,364.8,0.06,True,73.16,0.54,0.48,0.07,2026-01-21,105.3,2.94,0,,96.5,ATH,False,False
21-01-2026 17:00,THYAO,293.75,297.0,292.75,296.75,12160924.0,0.25,3.0,0.4,650.0,3.0,5290997.7,129.84,0.08,True,59.58,0.23,0.27,-0.04,2026-01-21,292.0,1.63,0,,279.5,299.75,False,False
21-01-2026 17:00,BUCIM,6.94,7.01,6.93,7.0,1682096.0,0.01,0.06,0.01,500.0,0.06,515178.7,226.51,0.17,True,55.99,-0.03,-0.04,0.01,2026-01-21,6.91,1.3,0,,6.86,7.13,True,False
21-01-2026 17:00,ALTIN,87.54,88.5,86.52,88.48,13586123.0,0.02,0.94,0.16,498.73,0.94,7355909.8,84.7,0.02,True,67.04,1.47,1.34,0.14,2026-01-21,85.23,3.81,0,,79.0,90.91,False,False
21-01-2026 17:00,OYAKC,26.02,26.2,26.0,26.16,5033881.0,0.04,0.14,0.03,337.5,0.14,3106671.1,62.03,0.29,True,68.27,0.2,0.22,-0.02,2026-01-21,25.78,1.47,0,,25.32,26.28,False,False
21-01-2026 17:00,GOZDE,23.66,24.24,23.52,24.18,1138340.0,0.06,0.52,0.08,550.0,0.52,445043.8,155.78,0.12,True,69.15,0.07,0.02,0.05,2026-01-21,23.56,2.63,0,,22.9,ATH,False,False
